	Summary	Job Title	Date	Overall Rating	Pros	Cons
25	One of the best companies in terms of corporate culture, especially for full time employees	 Software Engineer	20 Sep 2022	4.0	"Visa as an organisation places high emphasis on ethics which makes it an organization that employees can feel proud about working under. It offers benefits to the employees such as 20 hours of paid time off to volunteer, employee donation matching as well as 1 month of childcare leave. 

Visa strives to integrate work life harmony into its work culture and offers employees mental health and well being resources. Employees are also allowed to take Friday afternoons off if they have completed their tasks, during certain times of the year.

As the Return To Office initiative started once the COVID restrictions were lifted, the company staff organized more sessions in the office for employee engagement. Some of these include a Yoga session and a Bollywood jam session.

Hence, if you are looking to join a large company for the long run, then Visa is definitely one of the companies that you should look out for."	"These are applicable to contractors rather than to full time employees:
1. Contractors are not kept in the loop for some of the internal communications that full time employees are involved in
2. Contractors have to get additional permissions to access certain resources 

However, I think that these issues will be faced by contractors at other companies as well so that should not be a problem for those who go into the company knowing about them."
26	Good	 Senior Consultant	8 Sep 2022	5.0	Work life balance is there. Friendly colleagues	No cons as of now
27	-	 Intern	7 Sep 2022	5.0	Good working environment at Visa	No particular cons at Visa
28	Great culture, great people, amazing mobility across roles and geographies	 Business Analyst	1 Sep 2022	5.0	People are lovely, culture is immaculate, and there are amazing opportunities to move throughout the company	No cons I can think of
29	Visa needs tech. managers than people managers.	 	30 Aug 2022	3.0	"Good work life balance.
Good benefits."	"The company needs technical managers rather than just people managers when they are transitioning towards innovation and new ideas.
Insecure middle management does not allow technical members to grow or work in desired way.
People in the management take technical decisions without consulting technology staff which later proves disastrous.
Favoritism is a weakness for people in management for  which the company as a whole suffers."
30	Great Place to Work	 Senior Software Engineer	29 Aug 2022	4.0	It's honestly a great place to work with good benefits and a true care for its employees	Tech stacks are a bit dated, with an inertia to move towards newer ones. Business processes are cumbersome but expected with a company that needs to be very concerned about security. All in all not too bad honestly, just wish that pay were a little higher
31	Visa	 Software Engineer	10 Aug 2022	5.0	"Good work life balance
Good branding"	May have to work on older technologies for mainframe support
32	Great company! Unparalleled benefits!	 Lead Network Analyst	1 Aug 2022	5.0	Unparalleled and Flexible Employee benefits	Work load tends to be overwhelming but thanks to our team management👍
33	Good company	 Senior Financial Analyst	25 Jul 2022	5.0	Work and life balance, good benefits, management caring for employees	Recent aggressive hiring and Slower career development
34	Great, inclusive work culture	 Director	20 Jul 2022	5.0	"- Good work-life balance is promoted
- Inclusive work culture
- Strong promoter of career progress and internal mobility
- Decent compensation
- Goal oriented performance and reward structure"	"- Matrixed organization with usual large-company challenges of geographic vs. corporate goal challenges
- Not enough people/team management opportunities until Senior Director level given that Visa is a large Fortune500 company with relatively smaller workforce"
35	Singapore HR makes fun of employees	 Staff Engineer	20 Jul 2022	1.0	Good job security. flexible work culture. listening managers.	"Made fun of employees with Singapore HR settled for single digit hike when CEO announced ""significant"" hike.

HR doesn't know the growing inflation in Singapore. Need new HR team"
36	Very Humble and Fair Work Culture	 Senior Consultant	6 Jul 2022	5.0	Good to work for long term. Company gives more value for ethics and values	Diversity could be a bit challenge
37	Good but not quite	 Risk Analyst	27 Jun 2022	4.0	"A lot of things to learn
Great co-workers"	"Not good management
Tehy dont care about lower rank employees
All talk and promises"
38	Meh	 Data Analyst	15 Jun 2022	3.0	Good and best, sometimes understanding and sometimes not	Bad and worst, driven but difficult at times.
39	Best place to work	 Staff Systems Engineer	13 Jun 2022	5.0	"High value for employees
Work-life balance is amazing
Management is super transparent
You can learn whatever you want
Compensation and bonus are good as compare to market"	"Not all employees are getting chance to work on latest technology stack
Whatever you learned will be useful if you get a chance to implement it which rarely happens"
40	Employee friendly organisation	 Senior Director	6 Jun 2022	5.0	"- Thoughtful leadership
- Sensitive to Employee requirements
- Opportunities to grow for smart working employees"	"- Politics and unconscious biases
-Slow to act as being heavy on processes & procedures"
41	Rewards hard work over smart work	 Senior Engineer	31 May 2022	3.0	"Good work and infrastructure. Great team. Very good learning opportunity.
Great brand, great benefits, pay at the time of joining. Supports good work life balance. Market leader. Market differentiating businesses. Good growth if under a good leader who are exceptions but not normal."	"Lack of good new age processes and follows very old processes. 
Strong old culture with very old school thoughts who insist extended hours of work. 
Good work life balance at the high cost of slow career growth.
Culture that appreciates hard work over smart work and rewards hard workers more."
42	All is well	 Senior Software Engineer	29 May 2022	5.0	Really great place to work	Nothing to say about cons, all good
43	Love my team	 Software Engineer	6 May 2022	5.0	"Everyone is so helpful and easy to work with
Manager is great and really cares (but depends on luck)
No politics internally and team tries to be open and transparent 
Health insurance and dental coverage is pretty good for employee and family 
20 days leave and goes to 25 once 5 years in co
10 days family emergency leave"	"Too many security and compliance to adhere by thus keeping engineers very busy with them 
HR does not seem to be helping much with retention
Salary needs to be improved for those that stayed and has the knowledge"
44	Great Place to Work	 Lead Recruitment Co Coordinator	29 Apr 2022	5.0	Great brand, great benefits, growth, pay	Can get monotonous, long working hours
45	Good place to work	 QA Automation Engineer	18 Apr 2022	4.0	"Good place to work
Good work life environment
Flexible working hours"	Technically , you won't be able to explore much if you are working as a contractor.
46	Very good culture and balance of work	 Senior Software Engineer	15 Apr 2022	5.0	Amazing balance of workload and personal life. Supportive crew as well.	None that I can think of.
47	Supportive, inclusive, open	 Business Associate	11 Apr 2022	5.0	"- Collaborative and supportive culture
- Flat and lean org
- Excellent work-life balance"	- Global-Regional-Local hierarchy causes bottlenecking at times
48	Awesome place to work	 Senior Software Engineer	29 Mar 2022	5.0	"Career Growth opportunities. Good pay scale. Employee Friendly, Leave policies,
Innovative people"	Nothing observed. Depends on team you are part of
49	Good company	 Senior Software Engineer	15 Mar 2022	4.0	Respect to the employees. Nice management.	Low salaries as compared to other financial institutions and competitors like Mastercard and American Express
50	Great Company to work with	 Director	5 Mar 2022	5.0	Well structure and employee are well respected	Be more innovative and willing to change
51	Working enviroment	 Associate Tech Support Analyst	2 Mar 2022	4.0	Dynamic and friendly working environment	Work from office is mandatory for some
52	Good	 Software Engineer	1 Mar 2022	4.0	Nice environment and work life balance	Not too competitive compared with other companies
53	great, i love my company	 Finance Manager	23 Feb 2022	5.0	internal mobility, safe culture, great people	slow opportunities, nothing much to say, it is a good company
54	Good experience but very less visibility in organization to contractors.	 Software Developer	23 Feb 2022	3.0	"Work life balance.
Friday Mania where you get some snacks to eat."	"Not that great work, targets permanent employee only.
Contract was broken as soon as corona was hit.

Contractors working on hire and fire basis."
55	Life@Visa	 Senior Software Engineer	22 Feb 2022	2.0	Work life balance is good.	Low salaries as compared to the tech peers. Too many legacy system.
56	Good company	 Data Scientist	17 Feb 2022	5.0	Work life balance is good	No bad things to say
57	Great company	 Director	16 Feb 2022	5.0	"Good work life balance
Good place to work"	No cons at my workplace
58	Good pay !	 Software Engineer(Internship)	11 Feb 2022	5.0	A lot of hard and interesting work	Too many indians haha, not sure if indians are highly favoured for promotion?
59	Its a decent company	 Senior Software Engineer	27 Jan 2022	4.0	Opportunities are vast and you are allowed to explore any opportunity of your choice	HR policies sometimes are painful
60	Great company	 Business Associate	23 Jan 2022	4.0	Strong managerial focus on the graduate program	Lack of international exposure on grad program
61	Falling Behind in Technology Space	 Senior Software Engineer	12 Jan 2022	2.0	"Work Life Balance (based on teams as well)
Good Learning Culture
Managers are encouraged to be empathetic and understanding"	"Falling way behind in compensation in Singapore (and many other countries to be honest). HR and management is adamant that they are paying a competitive compensation.

There are also many double standards. In the year where employees got a pay freeze, senior execs continue to have their double digit percentage increment. This is an irony because one of Visa's leadership principle is ""Leading by Example"".

There is many opportunities to achieve great things in Visa as there are many talented engineers if Visa makes an effort to retain them. On the other hand, Visa has to be more firm to remove engineers who have proven to be not up to standards."
62	Good company	 Senior Software Engineer	5 Jan 2022	3.0	"Good company 
Great learning
Good benefit"	"Slow growth
Not good in terms of compensation"
63	Company is good	 Senior Developer	28 Dec 2021	4.0	"Good work life balance
Good learning and decent pay."	HR department is very incompetent. Not ready to listen to employees problems.
64	Little Technology Integration and Empowerment	 Director	27 Dec 2021	3.0	"Reasonable compensation and benefits
Regional exposure"	"Leaders gave little time or listening ears on encouraging employees to express ideas
No empowerment to implement changes at the regional level
Top-down communicaiton"
65	Good Company but no longterm scope for Contractors	 Senior Consultant	23 Dec 2021	4.0	Work life Balance is good and company gives lots of space for learning	No long term work and company can terminate contract even in a running project
66	Good company to be in.	 Associate Analyst	20 Dec 2021	4.0	Good benefits. Diverse team dynamics.	No cons at the moment
67	Slower in implementation, forgets experienced	 Senior Consultant	2 Dec 2021	3.0	The job is challenging definitely, shifting strategies to latest technologies and pay is moderate	"- Too much of process to get your work done
- New College Grads are more paid than the experienced people, not the same importance given to retain existing employees
- Sudden changes / additions in role hierarchy without any discussion with employees"
68	Great experience working at Visa	 Anonymous Employee	25 Nov 2021	5.0	"Open culture
Autonomy to run projects, ideas"	Internal mobility is not as easy as is portrayed
69	Get the right salary and designation	 Senior Systems Engineer	19 Nov 2021	4.0	Very helpful people and can play around with any latest technology you want. Good learning opportunity to improve skills and can suggest ideas, improvements, do innovations. Good work life balance and year end bonus etc.	Get the right salary while entering in to the company. Specially if you are hired from other countries than the designated work location, you will be paid 50% less when compared to the market and even you will be given less role/designation. So do ground work and know where you stand and demand the package accordingly because getting decent hike here is like seeing shooting star.
70	good	 Analyst	12 Nov 2021	5.0	good work environment. good process.	nothing that i noted so far
71	Amazing place to work	 Anonymous Employee	11 Nov 2021	5.0	"Work life balance
Compensation
Value for employees"	"Management driven
HRs are not supportive"
72	Good	 Manager	10 Nov 2021	4.0	Good company culture, nice supportive environment	it is very competitive among coworkers.
73	Amazing company for developers	 Manager	6 Nov 2021	5.0	"Open culture, everyone is respected.
Managers are given training to be understanding and empathetic thus good managers mostly.
Good benefits (medical, dental, 20 days leave - 25 days after 5 years, stocks etc)
Company tries as much as possible to give WLB
Lots of training available on intranet"	Difficult to be a manager as engineers are treat very very well and tend to take things for granted.
74	Good company with bad management and HR	 Staff Software Engineer	27 Oct 2021	2.0	"Pay and brand
stable company
annual bonus"	"no promotion
no growth opportunities
internal movement not possible
compensation is ok but not competitive
HR is for namsake and less co-operative
not a good company for freshers and talented people"
75	Great	 Project Manager	25 Oct 2021	5.0	Great working with visa and always	No issues. All good working
76	Good	 Sales Manager	20 Oct 2021	5.0	Flexible work hours and great visiblity	Not anything as of now
77	Visa inc	 Systems Analyst	10 Oct 2021	4.0	"Good paymaster.
Good benefits like health insurance etc.."	Recognition of the employee work by manager -need to improve
78	Every day is a day to learn something new and then it evolves. There is never a boring day at Visa.	 Visa Rules Management Compliance APCEMEA	10 Oct 2021	5.0	There is an ever growing stream of information and learnings you can get from working here. There is never a boring day except when the laptop or applications fail.	It maybe a little overwhelming for those who don't like being challenged daily.
79	Good for retirement, not for growing your career	 Senior Software Engineer	21 Sep 2021	3.0	"- Friendly colleagues and working environment
- Good CEO 
- Strong emphasis on work-life balance
- Friday well-being hours & annual leaves
- Good medical and flexi benefits
- Visa university is great (paid online courses that employees have free access)"	"- top down management. Decisions are taken from US office and Singapore just implements them
- below average compensation compared to the market
- lack of opportunities to grow in career
- uninteresting work
- engineering quality is poor
- tech stack is uninteresting
- lack of innovation
- too much bureaucracy
- managers & directors don't have engineering experience but they lead engineers
- high attrition rate on young engineers"
80	Great company to work for.	 Staff Software Engineer	15 Sep 2021	5.0	VISA aims to be a good employer and it certainly is a delightful experience working there. Decent compensation, workload and benefits. Nothing over the top but decent.	Can be a bit boring work.
81	Work life balance, teamwork, lot of resources to learn & growth	 Director	15 Sep 2021	4.0	"Work life balance
Good Teamwork
Plenty of internal online resources to learn & growth"	"Pay compression happen for long service staff
Maintaining efficiency is a pain while too many internal process and decentralized work tasks managed by different team in different time zone & location"
82	Great work environment	 Software Engineer	2 Sep 2021	4.0	"- Work life balance
- Many learning resources
- Professional work culture
- Using latest tech"	Corporate overhead work may impede development process
83	Useless	 Senior Consultant	31 Aug 2021	1.0	The Brand Name is good.	Not good to work since lots of politics
84	Great company culture	 Account Manager	28 Aug 2021	5.0	"- Encourage new initatives, making mistakes is ok
- Compassionate and helpful colleagues"	- Compensation can be better
85	Nice place to work	 Senior Systems Analyst	28 Aug 2021	4.0	Company is recognizing each employee	But Internal management is not recognizing the right people and not allowing to grow.
86	Amazing place to work at	 Software Engineer Intern	27 Aug 2021	5.0	The work culture there places a strong emphasis on work-life balance. The people at Visa are very helpful, always willing to lend a helping hand whenever I had questions pertaining to my tasks. At the same time, they make efforts to engage me on non-work related matters, such as holding informal online chats.	Sometimes the senior staff may be too busy to reply promptly. Some parts of the technical documentation do not contain enough relevant information.
87	Think twice before joining	 Office Administrator	26 Aug 2021	1.0	Benefits are very good and some local colleagues	Get treated badly if you are not white or a low level support.
88	Family-orientated. Supportive for your career development. Highly ethical.	 Director	18 Aug 2021	5.0	Very friendly and flat Organization. The employer values your family life and diversity & Inclusion. They are also supportive for your career development including relocation and shifting functions. Generous benefit plans including competitive salary.	I cannot think of any.
89	Visa	 Business Associate	1 Aug 2021	4.0	Visa has pretty good work life balance, benefits are also great. They are very big on internal mobility and will give opportunities for internal staff to move	Reorganizations might be common especially in the Hub teams. However, company is relatively transparent with the processes and navigating employees through it
90	Visa Worldwide	 Senior Director	23 Jul 2021	5.0	Great employee focussed work culture	Very hierarchical country/regional management structure
91	Work life balance with good team	 Software Engineer	18 Jul 2021	5.0	good work life balance with interesting work and good culture	Information sillos and manual processes
92	Good culture	 Software Engineer	7 Jul 2021	5.0	Great working culture, people are understanding. Good work life balance.	Nothing that I can think of.
93	Good company to work at.	 Senior Software Engineer	6 Jul 2021	5.0	Good benefits and relaxed culture	Stiff Hierarchy and it's difficult to talk to upper management even though they conduct skip level meetings.
94	value diversity	 Anonymous Employee	5 Jul 2021	5.0	do quite well in the D&I	not much good growth oppty
95	Good benefits, old teams	 Implementation Analyst	29 Jun 2021	4.0	Good work life balance. Great benefits like health insurance.	"Company is mostly people who have been with the company for many years (10+), so things are less flexible and slow (not up to date with current trend). 
Average turnaround rate seems to be higher for younger new joiners, while the oldies continue to stay. 
Not enough flexibility to try new things or change teams."
96	Great Culture	 Vice President	28 Jun 2021	5.0	Great people. Good work life balance. Global opportunities	Can be bureaucratic. Slow to make decisions.
97	Work Environment	 Credit Analyst	25 Jun 2021	3.0	Good communication lines between management, stakeholders and staff	Distribution of work load was not done evenly on occasions.
98	Great place to work	 Anonymous Employee	17 Jun 2021	5.0	Smart teammates, interesting projects and good work life balance	I can't think of any to add, I enjoy working here
99	High in tech and budget	 Director	16 Jun 2021	5.0	"Cutting edge technology 
Budget is not usually an issue
Security is the #1 priority"	"Process can be heavy
Security is the #1 priority"
100	Good team and work culture	 Associate Cybersecurity Analyst	5 Jun 2021	5.0	Good work culture and team	Nothing much of a concern
101	Good to work	 Senior Java Developer	2 Jun 2021	4.0	Good work life balance, Compensation	switching between the project is hard
102	Great workplace	 Senior Staff Engineer	29 May 2021	4.0	"1. Latest tech stack
2. Awesome LT
3. Good salary"	"1. Too much work pressure
2. Very difficult to get promotions"
103	Uncertain Plans	 Project Analyst Intern	23 May 2021	4.0	tried their best to make the coronavirus situation work	Lack of work for interns
104	Work in Visa	 Anonymous Employee	17 May 2021	5.0	Good work life balance , very good boss and culture	Very hard to promote for working level . Need average 5 years
105	Good work place	 Senior Systems Engineer	16 May 2021	5.0	"One of the best org where someone can manage work life balance very nicely

High techie org"	Hard to think of any
106	Company has a great culture with focus on employee well-being but some of the employees are ignored	 Director	13 May 2021	3.0	"Overall good working environment and senior leadership team do care about the employees and their well-being
Company strategy is also in-line with what is required in the market to grow"	"Unfortunately people like us who are working in the company for a long time do not get attention. Salary is competitive for persons recruited from outside yet strangely enough we (the long-timers in the company)do not get at par with the standard. I have been promoted to the role of Director long time back yet no adjustment has been made to the salary that should be the standard norm for a promotion. It is quite long that I am underpaid and only few minor adjustments have been done and that is way below the current standard of salary. Being a single earner in the family it really hurts. Moreover, in recent years the annual stock option has also been limited to few and as a result some of us getting ignored without any explanation.
There are also very limited opportunities for career growth path for people like us working in Technology division who are located outside of US. Nobody even bothers about it.
I really feel sad for my team for whom nothing much can be done working in a offsite location. Sometimes all I hear from the other side is what my team has done wrong and what they are lacking even though there are enough evidences of them going above and beyond regularly, working late in the night to deliver projects taking great amount of responsibilities"
107	Great Company, Weakened by Inefficient Highly Political Middle Management	 Engineering	7 May 2021	3.0	"Good CEO - Charismatic, Caring, Delivering in business
Great management of COVID situation, right messaging from CEO to support the employees (although issues in SG in helping employees)
Invest in Learning resources, a good place to do many courses free :)
Good facilities, games, rest place, gym
Nice office, comfortable cozy
Reasonable salary
Growing business, stability, Rich money
Many good people to talk"	"Leadership - All praise to CEO for many good, but he is missing on improving leaders completely. Many old school middle managers, focused on saving their fort and power. Lack of growth mindset to produce great products, lacking leadership and people skills. This is resulting in mediocre and very very political culture. 

Technologies - Sucks at this. Many years behind tech companies. Result of previous point. Engineering practices are from old time. Not learning after a point.

Hr - Does it exist? Lacking skills of tech companies. No focus on culture development. 

Overall a high potential company, but like a old era white elephant with tired and very political system. Not a place to grow as developer. No focus on great product development. Many startups with 50 people building better products."
108	A global company with great culture	 Manager	3 May 2021	5.0	Internal mobility, high impact (if on appropriate teams), lots of growth	Expected corporate limitations, slower processes, some bad/lazy managers but those at everywhere
109	Relax work environment	 Staff Software Engineer	29 Apr 2021	4.0	Good work culture and no stress at all	Nothing new to learn but more of BAU work
110	Overall it is a great company to be in	 Senior Software Engineer	27 Apr 2021	4.0	Great environment and work life balance	I have had the opportunity to work in two different team and have a few changes in terms of management/leadership. You can tell if your managers are genuine or not. If you did not get a good manager, just bear with it or move to another team!
111	Good place to work, high pressure, low diversity	 Analyst	27 Apr 2021	4.0	Great place to work and learn	Low diversity, High pressure job, boss was not very open minded
112	Company that believes in wellness	 Event Planner	26 Apr 2021	4.0	Great perks and incentives. CEO has great vision and is a people manager	Too trusting and dependent on line managers.
113	Employee friendly and work life balance supporter	 Staff Software Engineer	23 Apr 2021	5.0	Employee friendly, supports work life balance, benefits are good,Stable company.	Base salary is less with respect total career experience
114	Excellent company of my career	 Senior Systems Administrator	17 Apr 2021	5.0	"- Non biased and employee friendly environment
- Lot to learn due to Visa's involvement in cutting edge technologies
- Very good in employee benefits and perks"	"- Nothing specific to mention, just lacks the fun activities in office :)
- Another down side is sometimes you have to compromise on your work life balance due to timezone differences when you have to attend meetings with US counterparts"
115	Great	 Senior Help Desk Specialist	16 Apr 2021	5.0	Work environment and people are great.	Unfortunately too much power is given to undeserving managers and salaries could be slightly higher.
116	Good place to work	 Director	15 Apr 2021	4.0	Friendly environment. Good place to work	Some functions have one single colour
117	Nice people, quite stressful	 Trainee	15 Apr 2021	5.0	Very nice people in general	Can be stressful at times
118	Good Pay	 Senior Director	9 Apr 2021	3.0	Great Salary and benefits for staff	Political and untrustworthy work environment
119	Needs empathy	 Staff Software Engineer	8 Apr 2021	1.0	"Excellent set of people.
The work is great."	"(Singapore)No empathy towards employees to help them during difficult times like COVID. Literally the condition in the company is either you choose work or family. There is no support to get the employees who are stuck outside. While other companies are doing their best in Singapore to help retain their employees and help them balance the personal and professional life in all ways, Visa seem to have turned their back on employee problems during this covid. 
They have basically left no choice to their foreign employees but to leave and permanently go back to the place where they come from.

The HR policies are too stubborn and they are just adding to the difficulties during such times because of their stubborness to change. The immigration partner firm is doung a miserable job here in Singapore to help the stranded employees get back and on top of that they are charging a hefty amount for service which is absolutely free. It has been 1 n half year into pandemic and it may be around for ling and if this is the support that the foreign employees get at this time, I think it is time to rethink about the relationship with Visa"
120	Good Company to work for	 Anonymous Employee	8 Apr 2021	4.0	Brand, Organize, Leadership, Learning, Benefit	Heavy work load, Pressure, Processes
121	Good Work Life Balance	 Staff Software Engineer	6 Apr 2021	4.0	Good work life balance and generous PTO	"Pay less compared to other tech company. 
Difficult career advancement if you're not from some certain country."
122	great place to learn	 Analyst	30 Mar 2021	4.0	Good team, inclusive, emphasis on development	large organisation, unclear about mobility
123	Good Company to work with.	 Senior Software Engineer	19 Mar 2021	5.0	"1. Learning is high.
2. Growth is good.
3. People oriented company
4. Best for women.
5. Have experienced both Bangalore and Singapore"	1. Work life balance but that's domain specific.
124	Great firm with lots of learning opportunities	 Financial Analyst	17 Mar 2021	5.0	"1. Hone business acumen in Payment Technology industry
2. New tools/platforms which are up-to-date. Every day is a new day!"	None as of now. Maybe more Visa card discounts.
125	Good Culture	 Business Associate	14 Mar 2021	5.0	People are nice, great culture, good work life balance	A lot of layers. Decision making is slow
126	Good work life balance	 Senior Software Engineer	13 Mar 2021	3.0	Good work life balance and stable	Career promotion circle is long.
127	Not a good place to start your career	 Senior Software Engineer	12 Mar 2021	3.0	Helpful staff and general atmosphere	A lot of politics and questionable promotion criteria
128	Good benefits	 Customer Service	5 Mar 2021	3.0	Good benefits in terms of salary and medical	Shift hours and without worklife balance
129	Work Life balance	 Associate Systems Administrator	4 Mar 2021	5.0	Work Life balance, good company culture	Not I can think of
130	Great company	 Senior Software Test Engineer	2 Mar 2021	5.0	They give High pay and bonuses	Politics within the company is rampant
131	Great company	 Software Engineer	1 Mar 2021	5.0	"Good work life balance
Nice work environment"	Salary is lower than other tech giants
132	Life as an intern	 Intern	1 Mar 2021	4.0	Work force is very international based. There are tons of westerners and people from other countries in a team.	Most people will not bother to interact much with the intern as we're only there temporarily.
133	Holistically a great company to work for	 Director	24 Feb 2021	5.0	"- Top Shelf Benefits
- Flexible working during Covid
- Managers are encouraged to look after staff
- Try to include staff in the community"	- For some roles it's hard to get promotions. So you need to move around.
134	Great Place to Work	 Data Scientist	18 Feb 2021	5.0	Good emphasis on benefits and work life balance	During projects, it can be a little stressful..
135	Payment technology	 Project Director	16 Feb 2021	5.0	Great people, very interesting work	Some processes do not match business needs
136	Payment	 Senior Director	14 Feb 2021	3.0	Very international working environment .	Development opportunities can be hard to come by,
137	Good Company but Not good managers	 Lead Software Engineer	9 Feb 2021	4.0	Good Company with nice culture, Good CEO, Very good employee benefits.	"Managers are not good to understand candidate potential, Hiring process is not well defined and not having good checks as some managers hire their known persons rather than talent. Lowe level managers are quite political.

Promotions are difficult."
138	Great company to work for	 Director	8 Feb 2021	5.0	Great culture and great leaders	It is very difficult to get promoted.
139	Not a bad company to work	 Staff Software Engineer	2 Feb 2021	4.0	So far everything was good	Nothing bad to shout about
140	Technology	 Staff Software Engineer	31 Jan 2021	4.0	An interesting domain area, the company encourages learning culture, provides a great learning platform. Opportunities are there to transfer based on your career growth	Please do select the correct manager who can understand your potential and develop accordingly. There are many great leaders who can mentor you.
141	Amazing Employer	 Staff Software Engineer	30 Jan 2021	5.0	Salary, Work-Life Balance, Job Security	Nothing major I can think of
142	Great place to grow your career	 Analyst	27 Jan 2021	5.0	great team, people are willing to guide and help you, good salary, lots of opportunities if you put your hand up.	None so far. I enjoy my work.
143	IT	 Senior Software Engineer	25 Jan 2021	3.0	Cool company, good management and stable job	No salary hike, allowing working from home in only working location.
144	Great place to work and learn	 Director	24 Jan 2021	4.0	Employee Friendly, Growth prospects, Great leadership	inefficient at times on the delivery of projects
