	Summary	Job Title	Date	Overall Rating	Pros	Cons
125	Working at Meta, Singapore	 Anonymous Employee	8 Nov 2021	3.0	"1. Office perks, benefits and extra curriculars
2. Diversity
3. Flexibility for working parents"	"1. Toxic work culture
2. Performance appraisals are based off your popularity
3. Manager-centric control environment
4. Too many teams doing the same kind of work
5. High attrition levels"
126	Nice summer intern experience	 Software Engineer	7 Nov 2021	5.0	"Rich tools and docs
Supportive manager"	"Remote intern feels isolated
Not able to meet team in person"
127	This place challenges you positively	 Region Lead	3 Nov 2021	5.0	You will be challenged positively, I can feel myself growing so much even when coming in mid-career. Their pursuit for making positive impact and their relentless energy in doing their best keeps you very busy but you grow so much as a person and professional.	I work global hours and its been mostly literally 10 hour days with some days running to 14 hours.
128	Excellent HR Policies	 Public Policy Manager	3 Nov 2021	5.0	The company is made up a group of highly motivated, intelligent individuals with strong principles and moral compass. HR truly cares for the staff.	High attrition rate as staff are poached by other companies
129	Great	 Intern	31 Oct 2021	5.0	There are many pros working at Facebook.	There were no cons working at Facebook.
130	Good culture	 Marketing	13 Oct 2021	4.0	Great environment, everyone is understanding of time and personal schedules. Managers have to undergo review so they are often kept mindful of workplace culture.	Very rigid in terms of career growth. Many contract workers so you have to change stakeholders very often when their contracts end
131	Good company and care for the employees	 Sourcing Manager	11 Oct 2021	5.0	the company puts a lot of emphasize on the employees and the perks are really good. I have heard comments from competitors' employees saying they admire FB focusing on the employees while their companies are not doing the same.	APAC isn't the focus of the company and all the actions are in US.
132	Best company I have ever worked for	 Director Sales	9 Oct 2021	5.0	"Great people first culture, truly care about their people.
Very open communication, you can hear directly from Mark every week.
Highly encourage good work life balance"	Always under scrutiny from media and governments, sometimes fairly often times not. Takes some getting used to especially when you see the great work and investment everyone is making to tackle very difficult issues that is not remotely appreciated nor valued by critics
133	very good	 Data Analyst	7 Oct 2021	5.0	free flow snacks and drinks	nil nil nil nil nil nil
134	A mess	 Investigator	1 Oct 2021	2.0	Good salary, interesting social events	Awful working hours because of incoherent location strategy. Work is centered in North America which makes it especially difficult for anyone in APAC to get anything done without either waking up extra early or going to sleep late (if not both)
135	Product Manager	 Product Manager	30 Sep 2021	5.0	It's a amazing place to work for , truly global	Nothing to my knowledge as such
136	Working at Facebook	 Developer Support Engineer	29 Sep 2021	5.0	Amazing workplace, colleague, culture, benefits	Might be too competitive for some, high expectation in performance review
137	Good	 Software Engineer	15 Sep 2021	5.0	Good hours and working culture	Promotion very dependent on ability
138	Nil	 Software Engineer	10 Sep 2021	4.0	Good benefit , flexible hours , good progresssion	High pressure sometimes sometimes sometimes
139	Fantastic place to work	 Vendor Manager	3 Sep 2021	5.0	Great culture and environment; lots of concern about WLB; great leadership	Depending on what team you are, career progress might take more time
140	Fast paced and innovative tech firm	 Agency Partner	27 Aug 2021	5.0	Highly efficient, competitive environment, good for fast learners. Decent compensation and insurance package	Stress level is high and organisation matrix is highly complex
141	na	 Client Solutions Manager	24 Aug 2021	5.0	good for future career fd	competitive and high target to deliver
142	Great company - cares about staff and pays competitively	 Associate General Counsel	20 Aug 2021	5.0	Good local leadership, fast paced culture, meaningful work	Increasingly hierarchical structure, harder to get promoted than earlier years, tough regulatory environment
143	It's pretty great so far	 Lead Learning Experience Designer	15 Aug 2021	4.0	Lots of freedom, great culture, great people, unbelievably luxurious work environment	Low accountability, chaotic, lots of wastage
144	Best Work Life Balance	 SPM	10 Aug 2021	5.0	The works is not heavy loaded. Supported employee well being. Free lunch and unlimited snacks. The managers are all good people	There is no remote working policy for Singapore employee. they dont allow working outside Singapore
145	Good company for first job out of Uni	 Account Manager	9 Aug 2021	4.0	An empowering environment where each team member’s effort are acknowledged and appreciated. Have a lot of employee benefits in the package too.	Scope of work is quite stagnant and limited for the same role.
146	Great perks and culture but poor learning/growth opp	 Business Planning Analyst	4 Aug 2021	4.0	Culture, flexibility and ownership to take on new projects, decent work life balance after some time	Not much opportunity to grow and climb the ladder; no real impact to overall business
147	good	 Accountant	1 Aug 2021	4.0	good mgt and amazing team and i love it	nothing bad everything is perfect come
148	Great company. Will go through lots of changes in the months ahead.	 Marketing Science	31 Jul 2021	4.0	"1. Expect lots of wonderful, smart and friendly people 
2. Travel to different facebook offices and overseas offsites
3. Good ecommerce and retailer linkage
4. Lots of internal resources and materials
5. Great food, snacks, wonderful insurance coverage, paternity and maternity leave
6. Plenty of avenues to highlight your good work and show and tell"	"1. Big company with inefficiencies
2. Staff benefits could be better, compared to other industries (transport, flexi, etc) 
3. Not all managers will lead, mentor or protect the team. Manager encountered saw most feedbacks as problems, rather than understanding reasons that led to this (politics, gaps from org changes, etc) and solving it with you. 
4. Sharing with clients that KPI is not tied to sales. When feedbacks from sales team are most crucial to performance reviews. 
5. Advertising is the main source of revenue. 
6. Too many product changes in the past months. Clients may not be able to keep up or as interested to do so"
149	Great Company and Benefits	 Program Manager	30 Jul 2021	3.0	People focused company, will take care of you. Smart people to work with	Growing pains of moving from start up culture to established company
150	Good	 Senior Manager	21 Jul 2021	3.0	Opportunities to develop in the company.	Very balance sheet oriented company.
151	Great place to work!	 Global Lead	19 Jul 2021	4.0	Scope and importance of consumer products, really great people and top notch benefits.	No longer as easy as it once was to get to lead teams/become a manager.
152	Prefer the Software Engineer role instead	 Enterprise Engineer	18 Jul 2021	5.0	"Good benefits 
Work Culture is good in most of the aspects
Free food
Travel to different facebook offices
Talented and Ambitious peers, push you to grow"	"While the overall experience at Facbooks is reasonably good, depending on the team, quality of projects/work may vary from excellent to pathetic. 
Need to bargain hard on your CTC while joining the company to safeguard your interests. Managers have absolutely NO say in your compensation and wont be able to help you even if you perform well.
One should always interview for the Software Engineer position, which has slightly better pay, more opportunities to move around, different (better?) evaluation standards!

If you end up in a team which has no clear charter, you are expected to find your own work while the managers would not support you with this

Work life balance is average at best. You are expected to work a lot and it is more so if you want to grow to higher levels.In my opinion, people who have a strong career growth, don't have much time left and burnout often."
153	Good company with awesome vibes	 Account Manager	10 Jul 2021	5.0	People are really friendly, if you are extrovert who loves to be with people, you ll love it	Cant really say at the moment
154	Contractor at Facebook	 Contract Worker	30 Jun 2021	4.0	there's mostly good work-life balance.	not much as of now.
155	Nice company	 Market Specialist	28 Jun 2021	5.0	Good compensation / flexible culture. Coworkers are smart.	Company might be too big.
156	Great place to be at	 Manager	23 Jun 2021	5.0	Great place to work at!	None at all, long hours but then again, where isn't long hours.
157	Great for FTEs, not so much for Contractors	 Program Manager	21 Jun 2021	4.0	Champions the small wins of each person	"Too short term
Under performers hide"
