	Summary	Job Title	Date	Overall Rating	Pros	Cons
11	HP Job Info	 Supply Chain Program Manager	16 Feb 2023	4.0	Teamwork, growth opportunity, internal training courses, continuous improvement	HR is very poorly skilled in managing conflict / work ethics issues
12	Politics	 Anonymous Employee	13 Feb 2023	1.0	Relaxed work environment. Generous with trainings and team buildings/lunches.	low salary, politics hindering growth and promotion
13	Large company in SG	 Mechanical Engineer	10 Feb 2023	5.0	Large company with multiple teams	not sure what the cons are
14	Great Place for a first Job	 Product Engineer II	6 Feb 2023	4.0	Depending on department, good work life balance. Its okay to make mistakes, managers and colleagues are forgiving hence it's a great place for a first job. As for Singapore site, it is a very stable, unlikely to get let go or retrenched. Good for folks who just wanna cruise.	very average pay, low increment and poor bonus. role will get stagnant after 2-3 years.
15	Company with sympathy	 Data Scientist	5 Feb 2023	5.0	Good working culture. Work life balance	Pay is lower than market rate
16	Great company to work with	 Senior Procurement Engineer	31 Jan 2023	5.0	Flexible work Benefits for employer is well-placed Future prospect to grow is promising Able to travel and meet counterpart for better collaboration	Big enterprise, difficult to collaborate even within the company
17	Good environment	 Project Manager	30 Jan 2023	5.0	Nice pay, good environment, good welfare	Long working hours over weekends
18	HP benefit	 Business Operations Manager	16 Jan 2023	3.0	flexible working hour and environment	aging management and slow response to market dynamic
19	Good and nice culture	 Intern	9 Jan 2023	5.0	Nice staff and lovely building	A bit slow on projects
20	Good WLB but no/little progression	 Senior NPI Quality Engineer	8 Jan 2023	4.0	Good Work life balance .	No progression or little,... Low pay
21	Career path	 Category Manager	7 Jan 2023	5.0	limited development opportunities in the same role	protective business culture year end shut down
22	-	 Intern	5 Jan 2023	5.0	Good working environment and colleagues. Good pay	Cannot think of one atm
23	Working Condition	 Commodity Manager	22 Dec 2022	5.0	Flexible and opportunity to growth	uncompetitive salary, need new blood
24	GOod WFH	 Senior Project Manager	19 Dec 2022	5.0	WHF program is good for hybrid	low salary and lack of development
25	Good company to work	 Software Developer	6 Dec 2022	4.0	Company offers great work life balance	Chances for career advancement is less
26	Great company	 Senior Mechanical Design Engineer	6 Dec 2022	4.0	Great culture, flexible working hour, good management	Not attractive salary, at most meeting industrial average
27	Work Life Balance Oriented	 Procurement Engineer	29 Nov 2022	4.0	Enjoyed my time here as an early career employee, colleagues are helpful and constructive. Usually work together as a team. Compensation is good 2020-2021. Many company activities to give sense of togetherness	Too many specialized positions created to solve issues instead of ensuring the team that caused the issue to fix the issue. Usually end up in conflicts. Increment slow, not great. Constant restructuring, not good if you are 10 or 20 years on the job.
28	A really comfortable and flexible place to work	 Product Engineer	28 Nov 2022	5.0	Inclusive culture, empowering and accommodating to your ideas	Hierarchical, nothing more to add on cons
29	Ok	 Program Manager	28 Nov 2022	3.0	A lot of fun activities	Department SME like, global policy will not flow down
30	Good company welfare and	 Marketing	27 Nov 2022	4.0	takes care of employee, good culture and environment	slow career progression and low pay
31	Not too bad	 Engineer	25 Nov 2022	4.0	Flexible working environment. Flexible bosses too.	Workload is unbearable sometimes. Bosses can be quite disconnected with the ground.
32	Reasonable work environment	 Senior Project Manager/Program Manager	22 Nov 2022	3.0	Flexible workplace arrangement. Above average compensation. Friendly environment.	Cost-sensitive. Hires from lower-wage countries. Globalized - Many night calls per week. Lacks promotion opportunities.
33	Management with traditional mindset	 Process Engineer	22 Nov 2022	4.0	- Good flexibility of working hours as long as you get work done (management by objective)	- Seniors will revert to old ways when faced with stress - Management are old school (thinks that experience = competency)
34	Good environment	 Senior Product Engineer	14 Nov 2022	5.0	Flexible working hours, work life balance	salary benchmark not so high
35	Good Growth Company	 Project Manager	9 Nov 2022	5.0	flexible and encouraging employees to bring themselves to work	more efficiency, more determination and more expertise
36	HP flexi	 Project Manager	3 Nov 2022	3.0	Flexi work Open door policy Team work Casual Stable	Below market salary Below market bonus Standard benefits
37	project manager	 Project Manager	31 Oct 2022	3.0	flexi hour, good working culture	long hour and low bonus
38	great place to work	 Senior Database Architect	30 Oct 2022	4.0	employee friendly, open-door policy, freedom of work place	less salary and bonus. not much training..
39	Great company	 IT Systemengineer	24 Oct 2022	4.0	Good employment engagement good community	The country level management are not very satisfied
40	HP	 Manager	16 Oct 2022	4.0	Great place to work. Lots of autonomy.	Pay is not as competitive.
41	Not bad	 Systems Engineer	11 Oct 2022	5.0	Good culture i guess , people wait for sheet to happen	No so good communication skills here
42	*	 Supply Chain Operations Specialist	3 Oct 2022	4.0	nice team, good working environment	salary not high for contingent worker.
43	Job review	 Manager	30 Sep 2022	4.0	Good culture and good work life balance	Slow increment and slow bonus
44	Lousy management	 Technical Specialist	29 Sep 2022	2.0	Having good colleagues is keeping me here.	"Management focus on publicity rather than productivity.

Management don’t understand how operation is run, to them improving productivity is asking 1 person to do 3 person job.

Not competitive in pay."
45	Good place to work	 Technical Consultant	29 Sep 2022	5.0	Good benefits, care for the employee and good work culture	i cant think of nay
46	Nil	 Business Ops	25 Sep 2022	3.0	Good Work life balance and decent environment	Low salary. Otherwise a good working place
47	Great company	 Engineer	21 Sep 2022	3.0	Great company to work for	Not that flexible wfh schedule
48	Good	 Sales Associate	20 Sep 2022	4.0	Good working environment and learning opportunities	Pay not as competitive as others
49	A right place for career development	 Regional Sales Director	15 Sep 2022	5.0	Caring management and non toxic organisation.	Slow execution. Little investment for personal development.
50	Great culture good people	 Software Engineering Manager	12 Sep 2022	5.0	The great culture is the one to make people stay in the company for more than decades. People are generally very collaborative and nice. There are many supports to improve mental wellness.	Too much processes, too many departments hence too many gray areas, salary is still not catching up the speed of job market especially for those work years in the company
51	good culture and great leadership	 Operations Manager	30 Aug 2022	5.0	good culture and great leadership	not see anything since I started
52	Salary could be higher	 Business Analyst	28 Aug 2022	4.0	Nice culture nice people new environment	Salary tends to be on the lower end of market rate
53	Great Transformation	 Anonymous Employee	25 Aug 2022	5.0	Great working culture; Respect Diversity & Inclusion ; established defined processes	No great Compensation, reasonable benefits and too much bureaucracy
54	HP is a great place to work	 Executive Assistant	25 Aug 2022	4.0	Great corporate culture with open door policy.	Work can be overwhelming with little work life balance.
55	Great place to work	 Process Engineer	17 Aug 2022	4.0	Culture,people and work life balance, learning opportunities, helpful and knowlegeable colleagues	Pay, career progression, increment, bonus
56	Good company	 Product Engineer	5 Aug 2022	5.0	Flexible, friendly and open culture, fun working environment	Slow increment, business direct changing too frequently
57	Good	 Anonymous Employee	4 Aug 2022	5.0	Nice people, culture, benefits, bosses	Changes slow moving contractors aplenty
58	SAP IT consultant	 Senior SAP FICO Consultant	2 Aug 2022	4.0	"1. Work from home flexibility
2. Latest tools are used to execute the job"	"1. Career progress is almost Nill
2. Performance reward is biased"
59	Extraordinary good company culture, with good career development	 Channel Sales Specialist	1 Aug 2022	5.0	Work life balance, good compensation package and career development	Work process can be improved, requires intense alignment with stakeholders
60	OK	 Director	27 Jul 2022	2.0	working along smart people, decent pay	constant re-org, headcount reduction, shifting of strategies
61	Great Company to work with	 Principal Engineer	21 Jul 2022	5.0	Good working environment. Lean organization.	Promotion is one of the challenges
62	Good benefits and autonomy	 Senior Product Engineer	19 Jul 2022	4.0	"Work-life balance with alright benefits
Good autonomy
Great culture and overall a good company to work for
Great career opportunity if self motivated"	Pay compensation can be better
63	Great experience	 Marketing Executive	17 Jul 2022	4.0	"Worklife balance 
Kind and friendly colleagues 
Manageable projects"	"Slow pace
Not much cons, i enjoy working in HP"
64	Internship	 Internship	15 Jul 2022	4.0	Flexible hours provide great lerning experience	A tad bit demanding on the logisitcs sides of things
65	Plain	 Intern	13 Jul 2022	4.0	Work Life Balance and positive environment.	Nothing much to comment on
66	Great culture	 Program Manager	7 Jul 2022	5.0	Great culture - promote growth mindset , team collaboration	No specific cons observed till now
67	Conducive work environment for raising a family	 Procurement Engineer	5 Jul 2022	4.0	"Moderate worklife balance
Flexibility
Diversified work scopes"	"Remuneration may not tally with efforts put in
."
68	Good work life balance	 Process and Capabilities Manager II	4 Jul 2022	3.0	Good work life balance in company	Low salary and after company split poor culture
69	Good Working Experience	 Internship	28 Jun 2022	5.0	"Well thought out internship programme
Well Guided programme"	No cons that I experienced
70	Great Place to Start	 Systems Engineer	23 Jun 2022	4.0	open door policy and supportive management	not competitive pay with some long hours
71	Internship at HP	 HP Inc	30 May 2022	5.0	"You are treated as a engineer rather than a intern. 
A good management"	Honestly i have nothing negative about HP
72	Good Culture with lots of learning opportunities	 Technical Marketing Engineer	26 May 2022	4.0	"- Lots of benefits after Enrique becomes CEO
- Lots of learning opportunities
- Good Culture
- Family-friendly"	"- Low starting pay
- Increment is not high"
73	Culture	 Electrical Product Engineer	21 May 2022	4.0	Great culture.. treats employee like humans instead of just workers	Learning curve can be steep depending on which team you're in. Each team has different cultures. Matter of luck
74	Great CEO	 Technical Marketing Engineer	19 May 2022	5.0	Like the executives management style. They encourage employees to do job rotations to learn the ropes of different organizations	Salary is not competitive in the industry
75	Internship	 Intern	12 May 2022	4.0	- Good bosses and supervisors	- Difficult tasks given to me
76	None	 Embedded Software Engineer	11 May 2022	4.0	"- Great work life balance
- Lots of flexibility"	"- Slow career progression
- Slow income increases"
77	Engineer	 Claims Engineer	6 May 2022	1.0	Good coffee breaks. Able to communicate effectively with senior management.	Unable to move further due to no degree.
78	Good company	 Marketing Director	26 Apr 2022	4.0	Good work life balance and culture.	Slow in progression and career.
79	Lack of support for lines going to EOL	 Technical Support Specialist	20 Apr 2022	3.0	"Work-life balance, financial incentives and welfare.
Provide proper tools needed.
Projects."	"Poor management.
Lack of upskills and training.
High turnover"
80	Good culture & Improving Management	 Manufacturing Engineer	20 Apr 2022	5.0	good working culture, people respect , MBWA, MBO, Encourage career /department change , and transfer to stay relevance	very dynamic environment and challenges , rumor saturated industry ???. Business diversity and new markets investment in progress
81	Low compensation	 Procurement Analyst II	13 Apr 2022	1.0	Flexible working hours, work life balance	Compensation and reward based on academic qualification, not performance. Tasked additional higher job profile role with no compensation. Lack of career prospects. Bad workload allocation by manager, biased towards high profile projects
82	Great work experience	 Strategic Development Manager	11 Apr 2022	5.0	Great work culture and teamwork. Everyone is approachable across the globe.	Nothing much, if any, it is just that working globalized role requires flexible hours especially for US and EU contacts. Not an issue for me though
83	Life at HP	 Writing Systems Engineer	4 Apr 2022	5.0	Work life balance, Growth opportunities.	Salary lower than market average
84	Great place to work if you have the right manager	 Operations Supervisor	29 Mar 2022	3.0	flexible and people are supportive	some managers are not flexible
85	Pay	 Process Engineer	22 Mar 2022	5.0	Good working enviornment with nice colleagues	Not high pay compared to other companies in Singapore
86	Great	 Intern	19 Mar 2022	5.0	Great wlb, the manager is super supportive	Have really early/late call sometimes. But overall it's really good
87	Flexible Company	 Process Engineer	17 Mar 2022	5.0	"Flexible timing
Good work life balance
Good working environment"	Salary may not be the best
88	Making the headlines but ancient on the inside	 Business Operations Manager	15 Mar 2022	4.0	"- Culture is non-abusive.
- Politics are mild.
- Management trying to spread out workload.
- Opportunities for team cohesion.
- At corporate level, company's performance cascades financially to employees, not spent entirely on share buyback."	"- Slow to react
- Approach to business issues cumbersome.
- Co-workers are just doing the minimum. 
- Old timers working to time tested and playing hardball.
- For individual contributors, ceiling is Expert level.
- Most managers just want to play safe, not thinking out of the box or be adventurous.
- Efforts are not compensated.
- Overloaded employees"
89	No promotion	 Technical Operator	11 Mar 2022	3.0	Able to work without supervision	No scope for job promotion
90	Internship review	 Anonymous Intern	8 Mar 2022	4.0	Great learning opportunity for interns	Nothing that I can think of
91	Good WLB	 Design Engineer	8 Mar 2022	4.0	work life balance and flexiblility	mid to low pay and incremental
92	Great culture	 Senior R&D Program Manager	5 Mar 2022	4.0	Company culture, HP Way, is strong	Advancement limited to senior level
93	Great place to work	 Program Manager	3 Mar 2022	5.0	Family friendly environment and caring colleagues	Many employees have been in the company for too long and hence some are reluctant to adopt changes and make progress
94	Work Environment	 Senior Engineer	21 Feb 2022	4.0	Still provide better than average benefits and work-life balance compared to peer companies	Beginning to get overworked, especially from the start of Covid-19 lockdown, when working from home.
95	HP Inc	 Performance Marketing Specialist	13 Feb 2022	5.0	"Good work-life balance 
Attentive HR 
People-centric culture"	"Big company with red tape 
Slow to implement change due to red tape"
96	Senior Manager	 Senior Manager	12 Feb 2022	5.0	great company to work .. excellent work life .. limitless internal opportunities	nothing to complain until now
97	Not bad	 Consultant	10 Feb 2022	4.0	Staff purchases, work on enterprise deals	Sales are often tied up in corporate processes
98	Good company	 Program Manager	6 Feb 2022	4.0	Flexible, respect and teamwork among all teams and management	Too much red tape, changes are hard sometimes
99	company review	 Process Engineer	2 Feb 2022	5.0	Great company. Flexible and good environment.	cannot think of anything bad.
100	Large Format Printer	 Technical Consultant	26 Jan 2022	4.0	Great people and good benefit	Big organization, so some of the fine detail are not well look after.
101	Overall great place to work	 Eng Program Manager	20 Jan 2022	5.0	Flexible working arrangements, on job training	Salary not competitive with market.
102	Amazing company to work!	 Sales Sales Enablement Manager	14 Jan 2022	4.0	HP is one of the most employee friendly companies I have ever worked at. The organization culture and learning opportunities are endless. People are amazingly warm and supportive. They absolutely promote growth mindset!	Work-life balance can be a bit of a challenge at times....but then its a choice that you make.
103	Experience as an intern	 Internship	13 Jan 2022	5.0	Good company culture, Fun environment and good work life balance.	Low rate of job progression
104	Ok	 Supply Planner	12 Jan 2022	3.0	Good working environment, Flexible, Good benefits	Organisation is very big so work is complex
105	NA	 Systems Administrator	27 Dec 2021	3.0	Good and friendly colleagues all around.	Location is a little far from home.
106	Old-tech firm, alright benefits, hard to fire under-performers	 Regional Manager	26 Dec 2021	3.0	"Old-tech firm 
alright benefits
stable
work life balance alright"	"Pay increment is bad, was given 4.6% after turning down another firm that offered me more than 8x that percentage increment!

Did not bother to treat loyal employees fairly

Hard to fire under-performers

Not robust enough in rooting out problematic employees"
107	Company culture	 Process Engineer	23 Dec 2021	3.0	work-life balance and great integrity	high turnover rate. 1 engineer could be doing 2.5 engineers workload
108	Working environment for employee	 Facility Engineer	22 Dec 2021	3.0	high integrity and employee show respect for each other	Demanding management, culture has changed. Typical MNC style
109	Ex	 Procurement	13 Dec 2021	4.0	Excellent plc to work in	Long hours fr time to time
110	Good working atmosphere	 E-commerce	12 Dec 2021	4.0	The atmosphere is good for a starter who just graduated from university.	The tax declaration were not introduced to me when I first joined in the team.
111	Good company to work with	 Firmware Engineer	3 Dec 2021	4.0	It's a great place to work, work life balance, senior engineers are willing to share their knowledge.	Increment is not that impressive.
112	Great company	 Senior Product Manager	1 Dec 2021	4.0	CEO is good. People are friendly.	"Slow decision making. 
Many re-orgs"
113	Good place to work	 Engineer	30 Nov 2021	5.0	"Good work life balance
Well rounded benefits
Inclusive culture"	Not the most competitive pay
114	Hp intern	 HP Intern	20 Nov 2021	5.0	A lot of pros, good company	None that are present here
115	IT company with very good work life balance	 Solutions Architect	15 Nov 2021	4.0	No overtime working requirement. No KPI	Limited career growth and Low compensation
116	Not worth	 Senior CX Manager	28 Oct 2021	1.0	Work life balance is good	Management policits is horrible at SG site
117	Great place to work	 Finance Analyst	27 Oct 2021	4.0	plenty of events and benefits. good culture	lack of opportunities, re-org never stop.
118	Review	 Program Manager	22 Oct 2021	5.0	"Flexible working hour 
Friendly colleague"	Nil nil nil nil nil
119	A company with humanity. Really takes care of employee.	 Human Resources	17 Oct 2021	5.0	Equal Employment Opportunity and Empowerment	A few bad managers but overall, managers there are great!
120	Great culture	 Business Insights Analyst	16 Oct 2021	5.0	Everyone is very nurturing, and helpful especially to new graduates. Good mentoring available	A lot of people have been there for a long time, so they might not understand that some things are confusing for new hires
121	Good company with friendly culture	 Program Manager	11 Oct 2021	4.0	New comers could take your time to learn new things, no hardcore assignment at beginning	Most of employers are more then 15yrs, some documentation and sop could only verbal shared
122	Nice people	 Engineer	11 Oct 2021	4.0	"Nice people to work with
open management
flexible"	lots of re-org makes things confusing sometimes
123	Procurement	 Procurement	10 Oct 2021	4.0	Nice working environment, good colleagues	need to adapt to more advanced tech
124	Good company	 Senior Engineering Specialist	10 Oct 2021	5.0	Very good team and people	Benefits and pay not very attractive
125	People focus while innovating for future	 Head of Department	10 Oct 2021	5.0	Employee focus, great working culture and constantly reinventing itself for future growth.	Limited resource and consensus management slow down decision making
126	Good environment	 Fw Engineer	4 Oct 2021	5.0	Good working environment and friendly colleague	Many meetinging due to the pandermic
127	N/A	 Senior Account Manager	2 Oct 2021	5.0	"Defend existing business and achieve business growth plan particularly new product distribution in the designated sales territories.
Explore and investigate intelligence information relating to our / our competitors’ products and services in the designated sales territories.
Provide interface between the customer accounts in the designated sales territories with other workgroups in the organization to ensure prompt response to customer queries.
To make and defend bids under the customer's demand.
Ensure a high degree of customer satisfaction."	"In line with company strategy, policies and as communicated by the management, sell and support products/services in the designated sales territories to ensure good performance, guided by lean principles and continuous improvements
Participate and support, ensuring optimum spare parts inventory management, through accurate forecast and on-time delivery performance
Support sales figures reporting including forecasting, budgets and quarterly reporting
Agree with an annual sales budget and be accountable for its achievement
Win targeted new business including negotiation of contracts (LTA) mainly for distribution with the support of the management and financial team, in line with agreed commercial guidelines
Develop strategic customer accounts and cultivate new business opportunities. Present key opportunities to the management (new product, market, alliance…)
Maintain a detailed 18-month forecast of sales for the market group
Be aware of and keep management informed of current trends and competitors’ activities in the designated sales territories’ market
Identify and participate in trade shows in the designated sales territories
Continuous travel within territory
Trade Compliance Lead for Singapore (training will be provided)
Maintain the highest ethical standards, even when challenged from above
Understand and live by Auxitrol Weston's ethics and business conduct policies"
128	HP Singapore	 NPI Engineer	29 Sep 2021	3.0	"Good working environment 
Good working culture"	"Pay Increment is Slow
Limited Opportunities"
129	Work life balance	 Marcom-Manager	27 Sep 2021	4.0	Good work life balance , flexibiity	cold environment, each on its own
130	Management value staff	 Marketing Manager	24 Sep 2021	5.0	Recent years, new management start to value staff more. Especially during pandemic, I feel that the management really care for it's people, not only about business numbers.	Restructure & retrenchment exercise - too many too often
131	Good place to work	 IT Architect	18 Sep 2021	5.0	Explore various technology at work	Not the best salary considering the working experience
132	Great Place to Work	 Quality Engineer	11 Sep 2021	4.0	A Great Place to Work	there is nothing in particular cons
133	Pleasant working environment	 Marketing	9 Sep 2021	5.0	Flexible working hours, hybrid working model	Might not pay as well as competitors
134	Good environment	 Sales Associate	9 Sep 2021	3.0	Open progressive quick paced lively	Variable moving target need to adapt
135	Good work life balance.	 Software Engineer	4 Sep 2021	4.0	Flexible work hours, team training, company activities and updates to keep employees informed.	Can be overloaded with work, too many meetings.
136	Good comany	 Accoun Manager	4 Sep 2021	5.0	"Work life balance
Nice office
Good people"	"Pay too low
Below average welfare"
137	Great place to work in Singapore	 Software Developer	4 Sep 2021	5.0	A great place to work in Singapore. Colleagues are really friendly and work life balance is there	Doesn't practise agile process properly
138	Great place to work	 Mechanical Engineer	31 Aug 2021	5.0	"- The working culture is focusing on delivering work that matter and developing people
- Not much politics or human relation's problem 
- Flexible working time and place"	"- Average salary for a MNC
- Not much bonus"
139	Balance between work and personal life	 General Engineering	26 Aug 2021	5.0	you able to enjoy your personal life after work	lower salary increment compare to other's company
140	Good place to work	 Senior Electronics Engineer	26 Aug 2021	4.0	Flexibility, culture, team support are very good	Salary Growth is very slow in HP
141	HP	 Security Advisor	23 Aug 2021	5.0	Friendly and gracious environment with good benefits.	Rolller coaster ride during bad times
142	A Good Company	 Senior Manager	16 Aug 2021	5.0	HP's culture, HP way, Trust and respect, promoting growth mindset, take risk together, do what matters	Need to take care of individual career development, promote work life balance, more job rotations
143	Good working culture	 Project Manager	16 Aug 2021	3.0	"Good working culture for anyone
Manage own time and work load as accordingly and based on clients"	Chances are limited to be promoted due to the bosses are usually tagged to foreign talent from certain country in South Asia
144	Process engineer	 Engineer	10 Aug 2021	4.0	"work life balance is very achievable
great colleagues & peers"	"slow career development
salary is not so high compared to others"
145	Really good learning experience	 College Intern	10 Aug 2021	5.0	Lots of staff benefits and training opportunities as an intern. Able to make use of the company's HP Spirit and Brain Candy for lots of courses. A 90-day plan for the interns to meet milestones during the summer internship.	Work from Home measures due to the pandemic. Busy colleagues who were not able to integrate the interns into their projects. Not being involved in the bigger scale of the main projects.
146	Diverse, highly volatile org	 Program Manager	6 Aug 2021	4.0	flexibility on work time, no micro-management, staff benefits are above market standards, good working environment	volatile industry, org change or change of strategy leads to workforce reduction, too slow to react to market trends
147	Service delivery manager	 Service Delivery Manager	31 Jul 2021	5.0	Opportunity to grow and flexible work hours	Possibility of Senior level stagnation
148	Good Company to work - Great work-life balance	 Principal Engineer	29 Jul 2021	5.0	Great Work-life balance. Encourage to try innovative ideas. very professional.	Slow promotion process and depend on managers
149	Good Company, Good management and good collegue	 Senior RnD Engineer	28 Jul 2021	5.0	"-Very nice culture, colleagues are always willing to help and support each other when face challenges
- Bosses are good, they are willing to understand what is employees' interest of growth and help them to develop their strength
- Nice senior management team, share the company direction and strategy frequently with employees to make everyone align
- Good exposure to different stakeholders, open eyes to different functions' work
- Opportunities for internal rotation
- Very good work life balance, and company care employees' health and families
- Good overall compensation and benefit package, although the base pay is not high"	"- Technical knowledge is not highly transferrable cause not many other company doing printer at world
- Promotion and career growth is a bit slow"
150	Career opportunities	 Business Operations Manager	20 Jul 2021	3.0	Several opportunities to learn and progress	Many gray areas in job scope
151	Very good	 Consultant	15 Jul 2021	5.0	It is Very good company	It is Not bad at all
152	Good for retirees	 Manufacturing Technician	13 Jul 2021	2.0	Relaxed and no pressure to minimise costs on projects, trainings, etc.	Very low pay. Work visa holders are not favoured when it comes to promotion.
153	Good	 Sales	12 Jul 2021	5.0	Supportive of people ideas and work	Stress to work in cross funtional
154	the job has alot of freedom	 Process Engineer	12 Jul 2021	4.0	the job has quite of freedom, people are friendly	job progression is not great, will get stuck
155	good company with good environment	 Planner	27 Jun 2021	4.0	flexible working hours and good working environment	slow career growth and little pay increment
156	Good	 Senior Software Engineer	25 Jun 2021	4.0	"Good pay
Good culture
New tech stack"	Nothing. I like to work again
157	Good colleagues and support	 Data Analytics Intern	19 Jun 2021	5.0	"Good culture
Very supportive colleagues and supervisor
Very open to feedback"	Cant think of anything for the cons
158	Good	 Supply Chain	17 Jun 2021	5.0	Good work life balance and remote working	Can be hard to travel to
159	Good place to work	 NPI Engineer	9 Jun 2021	4.0	Freedom to explore, flexible working hours, good culture	possible to get stuck doing the same routine
160	Flexibility, decent benefits	 Financial Analyst	4 Jun 2021	4.0	Flexibility and decent benefits. 4 months maternity leave for all female employees.	Organisational Structure changes too often
161	Great company to work in	 Marketing Executive	3 Jun 2021	5.0	Work life balance. Good managers.	Slow career growth.... It takes a while to even get a promotion
162	Great Place	 Manager	25 May 2021	3.0	Many opportunities for employees to move around	Very big and bueracratic with many rules
163	Work life balance	 Anonymous Employee	21 May 2021	5.0	Can enjoy work life balance here.	Not too high salary and kind of career stagnant for a lot people after joining HP
164	Work life balance	 Procurement Engineer	19 May 2021	4.0	Work life balance, Friendly colleague, Wide range of training program available	"Low pay
Employee purchase of products not attactive"
165	Good company, good people but many lousy management	 Systems Engineer	19 May 2021	4.0	Flexible worktime. Company respect employees	Big company so there are always red tapes especially some at management level.
166	Flexible	 Operation Manager	18 May 2021	5.0	Take care of employee welfare.	Salary is not comparable to market rate
167	Process Engineer	 Senior Process Engineer	17 May 2021	4.0	The is a. Work life balance	Limited resources for executinf projects
168	Former Employees	 Engineer	13 May 2021	4.0	Work life balance & Good benefit	Smooth life & limited new tech learning opportunity
169	As contract employee at HP	 Technical Specialist	8 May 2021	3.0	"- Nice working environment
- Good people with good learning experiences"	"- Don't expect to renew contract
- Don't expect for increment"
170	Frequent Changes	 Consumer Sales Manager	4 May 2021	2.0	Great Learning journey for mid career persons	Frequency Changes that caused anxiety and low morale
171	TS	 Technician	30 Apr 2021	4.0	"Good Salary 
Good Environment 
Good Culture"	"Not much career growth
Not much challenging"
172	Good	 Senior Engineer	28 Apr 2021	4.0	Fair opportunities available for everyone	Overtime can be painful during crunch
173	Program Coordinator	 Program Coordinator	27 Apr 2021	4.0	Good working environment, flexible working time.	Too freedom, some people very free, some people very busy...
174	Boring	 Head of Sales	23 Apr 2021	3.0	The pay well cause it is a complex business	Very slow and giant corporation
175	Ok	 Project Manager	17 Apr 2021	4.0	Flexi working hr. Open. Non politics	Not pay master. Limited progression
176	Great company but requires luck to have good manager	 Process Engineer	16 Apr 2021	4.0	Benefits, Flexible hours, Recognition points system encourages good performance	Flexible hours(working 24/7). Progress limited if manager does not fight for their team.
177	Good benefits but bad manager	 Specialist	14 Apr 2021	3.0	Work life balance and good working environment	My manager in HP is very bad. You must follow him and couldn’t your own thoughts
178	Good place to work	 Anonymous Employee	13 Apr 2021	5.0	Work life balance good bosses and colleagues	Low salary and that is all
179	Good place to work for work life balance	 Sales Manager	13 Apr 2021	3.0	Values like Respect taken seriously. Good work life balance. Employee engagement and concerns are taken into account	Company has low profit margins overall, leading to cost cutting pressure and mediocre compensation. Not the best place for high potentials
180	good wlb	 Data Science Intern	6 Apr 2021	5.0	good wlb and nice colleague	can't think of any cons
181	Great place to work	 Software Engineer	5 Apr 2021	5.0	Laid back culture, very open	Can be a little unstructured sometimes
182	Great place to work	 Computer Science Intern	30 Mar 2021	5.0	Lots of opportunity to learn, flexible	No cons while I worked there
183	Great Culture	 Production Planner	29 Mar 2021	4.0	able to work from home, great culture	many night calls and meetings
