	Summary	Job Title	Date	Overall Rating	Pros	Cons
59	Good company	 Business Program Management	30 Aug 2021	5.0	Good organization to build breadth and depth of experience. Fantastic platform, solutions, technology.	Agility lacking, customer responsiveness, tooling and technical/industry depth in core functions.
60	For a short period	 Assistant Accountant Executive	29 Aug 2021	4.0	Organized, good multi national company culture	adaptation to Asia culture not there
61	People are not nice	 Financial Account Analyst	16 Aug 2021	2.0	Working from home, no dress code, canteen, many novelty goods, nice events for employees, good salary for the easy and boring jobs	I saw quite many people who are in the manager position was playing games to kill time, and just sitting at the desk without doing anything. People are not friendly and some people can't even say hi to colleagues.
62	Benefits	 Sales Director	15 Aug 2021	3.0	Brand name and enterprise ready. A lot of products to sell and rich partner ecosystems. Benefits is generally great and slight above market	"Too political, long working hour, lack of appreciation. 

Not customer focus - always pushing ways to sell more to customers without knowing if that really helps."
63	Biz Development	 Biz Development	27 Jul 2021	5.0	Flex work hours; vision of the company	career progression within other functions
64	Boys club	 Program Manager	22 Jul 2021	3.0	The salary is decent for the leveling.	It is a Boys club
65	Great company	 Software Engineer	21 Jul 2021	5.0	Great employee benefits, awesome people	Nothing much other than big company stuff
66	Great ppl and culture	 Partner Development Manager	18 Jul 2021	5.0	"-Company trajectory is looking great
-Smart co-workers to enable good thinking
- Good work life balance and decent benefits"	"-Career development plan is not always considered by managers
-Politics- personal favoritism trumps over performance
- Not that cool a place like FAANG"
67	Trusted advisor to CIO/CTO	 Account Technology Strategist (ATS)	16 Jul 2021	4.0	Exciting and growing company to be in	Complex, processes can be streamlined and improved
68	Great place to be	 Sales Manager	12 Jul 2021	4.0	Security of job and work colleagues	Not a stretch from a work standpoint
69	Good	 Anonymous Employee	2 Jul 2021	5.0	good location and nice office	nothing that I can think of.
70	Good	 Consultant	1 Jul 2021	4.0	Good culture and good benefits	Can get pretty political sometimes
71	data analyst	 Data Analyst	30 Jun 2021	4.0	lots of thing to learn	quite fast paced environment here
72	good	 Data Scientist	30 Jun 2021	5.0	good working conditions, nice co workers	may be stressful at times
73	Great benefits, challenging work, difficult to navigate	 Solutions Specialist	24 Jun 2021	4.0	Benefits are great, supportive culture, lots of learning and flexibility	Difficult to move around internally, unless you networked with someone way in advance. Once a job is on the portal to apply it is too late
74	Work Culture	 Technical Specialist	20 Jun 2021	5.0	Flexible and Open working culture	Work life balance is a challenge
75	Good flexibility and conditions,  poor internal politics and culture.	 Project Manager	15 Jun 2021	3.0	"Company flexibility is fantastic as you can basically work wherever and whenever you want. 

Salaries are generally above market average. 

Exciting to work with departments who are developing ground breaking products. 

I was able to work with lots of good people across many countries and cultures, especially at lower-mid levels of the org chart."	"Many people are just focused on getting their next promotion or transfer rather than doing what is best for the company so there is a lot of politics, sucking up, and individual goals which often sees the loudest and most politically savvy people get promoted rather than the most competent. 

Because the products basically sell themselves, management turnover is so high, and the company is so large there are a lot of mediocre people who need to be carried."
76	Great work culture	 Global Support Specialist	14 Jun 2021	4.0	Managers are flexible. Work-life balance is respected	Slow responses from HR department.
77	Beware if you are a contract staff	 Engagement Specialist	8 Jun 2021	4.0	Great open, working environment. Office was hotdesk situation with great views.	Contract staffs are let go *snap* just like that.
78	Datacenter Technician	 Datacenter Technician	6 Jun 2021	4.0	Respect diversity, appreciate integrity and take accountability. Promote and encourage learning.	We have wide range of diversity and we respect that.
79	pros and cons	 Business Consultant	5 Jun 2021	4.0	good culture that respects work life balance	changing direction of the team
80	Not bad	 Senior Cloud Solution Architect	31 May 2021	4.0	Generally good company to work for	Depends on the organization. Some colleagues might be nasty. Sometime too much of process.
81	Great place to work	 Manager	26 May 2021	4.0	"Awesome culture
Growth mindset. Very employee friendly"	"No specialist or dental cover
Medical coverage is generally not great"
82	Great company but lots of politics	 Director of Business Development	22 May 2021	5.0	respectful, diverse, intelligent people, autonomy	managing up more important that managing the business for career development
83	good	 Marketing	21 May 2021	5.0	Good, training overall good with learning	location of office is remote
84	Good company, nice leaders to work with	 Anonymous Contractor	21 May 2021	4.0	Workplace is central and working environment was fantastic. people who work there are are smart and efficient. has flexibility to work from home, pay is good.	little to no opportunities for full time positions, some of the full time employees will look down on the contract staff
85	Great work space	 Intern	15 May 2021	5.0	The pantry is well-stocked and the environment is very dynamic and has a lot of conducive work spaces.	Workplace is far from home.
86	Business program manager	 Business Program Manager	12 May 2021	3.0	Good company culture, great office, good learning and growing scope	Based discrimination within team from people of different nationalities. No work life balance.
87	Great mission, wonderful history, evolving culture, average comp, internal complexity an impediment to success	 Senior Sales Manager	5 May 2021	4.0	"Culture
Brand
CEO
Business Model
Sales Org structure and comp plans"	"Compensation below market
Too complex internally
Politics abound"
88	good company culture	 Support Analysis	3 May 2021	4.0	flexi work and good manager support	may need work long hours to meet KPI
89	Not that awesome afterall	 Secretary	19 Apr 2021	1.0	Free drinks, nuts make new friends	They claim to practice inclusiveness but not at all in reality.
90	Overview	 Director	16 Apr 2021	5.0	Excellent and challenging work environment where you can grow and learn	Must be able to thrive in fast pace and complex environment
91	Great company to work	 Marketing Director	15 Apr 2021	5.0	Microsoft just perfect place to work!	Nothing, just perfect, Microsoft was able to met my expectation!
92	contract job	 Anonymous Temporary Employee	5 Apr 2021	3.0	this is a ok company	there is no perm role available
93	Overall it's great!	 Anonymous Employee	22 Mar 2021	5.0	Awesome culture, wonderful colleagues. Inspiration growth	large amount of bureaucracy that gets in the way of things being done
94	great culture	 Cloud Solution Architect	9 Mar 2021	5.0	autonomy and positive culture. collaborative environment	not much at the moment
95	Good	 Senior Director	8 Mar 2021	5.0	Learning culture is strong among many	silo mentality in some of the old guards
96	Okay	 Anonymous Intern	5 Mar 2021	3.0	Bonding and culture is very good.	Salary is quite bad for interns.
97	Best Internship Experience	 Intern	3 Mar 2021	5.0	"Welfare (Reimbursement for remote activities)
Pro-rated AL"	None that I could think of
98	Good benefit	 Senior Consultant	3 Mar 2021	5.0	good staff benefits and colleagues	too many tasks to do
99	Salary review	 Sales	1 Mar 2021	3.0	Good pantry and nice office view	May not be suitable for non-sales
100	Great role if you are looking at diversifying technology	 Cloud Solution Architect	1 Mar 2021	5.0	Lots of automony and opportunities to learn and orchestrate implementation of technology.	Focus mainly on cloud technology
101	Fast pace but you get out what you put in	 Marketing Manager	24 Feb 2021	4.0	Strong future ahead. Worth the personal investment	You need to be able to handle constant change
102	Great place to work and learn to grow	 Commercial Executive	18 Feb 2021	4.0	Love the fail fast learn fast culture, where you make it your own responsibility to grow your own career.	I feel that there are still many around that are unable to keep up with the pace and fulfil the vision of the company
103	Permanent headcount	 Executive Assistant	17 Feb 2021	3.0	Flexible working hours and friendly people	No perm headcount for Executive Assistant
104	Good company to work	 Business Program Manager	15 Feb 2021	5.0	Work flexibility and great benefit	Office politics and constant change in organization
105	Great place to learn with smart people	 Marketing Manager	13 Feb 2021	4.0	Smart people, can learn a lot and fast with additional stretch assignments if hardworking with mostly good work life balance.	High expectations environment where you will need to be smart about how you work by making the right contacts not just word hard
106	Good place to work	 Principal Software Engineer	8 Feb 2021	3.0	Great people to work with	Pay not competitive as others
107	Good company	 Data Scientist	3 Feb 2021	5.0	a wonderful place to work at	Can be stressful at times
108	great company from all dimensions	 Engineer	20 Jan 2021	5.0	great opportunities with innovation and technology focus	nothing much , all good so far
109	Place to excel, not for new comers	 Partner Specialist	19 Jan 2021	3.0	"Excited place to work in 
Opportunities for personal growth, not much on skills"	No on the job tracing
110	Microsoft APAC	 Executive Administrative	15 Jan 2021	5.0	work anywhere and anyplace with internet access	too many jargons floating around
111	Good Place to work	 Project Manager	7 Jan 2021	4.0	Good place to learn. Many Benefits.	"Team too big. 
Not much cons"
112	Best place to work	 Risk Operations Analyst	6 Jan 2021	5.0	"Open to new ideas
Flat structure
Ability to grow
Work life balance
Diversity and inclusion
Amazing managers"	18 months contract policy that only allows you to work as a contractor only for 18 months.
113	Great company to work for	 Sales Operations Manager	4 Jan 2021	5.0	"- Work/Life Balance
- Flexibility at work
- Good perks
- Good Base Pay
- Great Culture
- Diversity and Inclusion
- Warm and Welcome environment"	"- Career evolution can be slower than other tech companies
- Tools and processes"
114	Amazing Place to Work	 Director	29 Dec 2020	5.0	Culture, Culture, Culture - & amazing opportunities on the latest technologies and drive digital transformation - we are really driving a change	Struggle to get to next role in MS. There is no real mentoring within the company to help employees plan a career.
115	Hard to get converted to FTE	 Business Program Manager	22 Dec 2020	5.0	Good colleagues and office and work environment	You can only get to work for 18months as a contractor and it's very hard to get converted to FTE
116	Good culture	 Sales Operations Manager	21 Dec 2020	4.0	Good salary and international mobility	too much power to manager
117	Good	 Manager	18 Dec 2020	3.0	Friendly culture and good pay	Location a bit too far for me
118	Good place for learning .	 Executive Administrative Assistant	18 Dec 2020	5.0	Time flexibility. Best practice sharing	limit data accessibility to contract staff
119	Mistreatment to contract staff	 Anonymous Contractor	18 Dec 2020	2.0	None so far as we know	Very obvious mistreatment if you are not Full time employee
120	ccc	 Software Engineer	17 Dec 2020	5.0	good, excellent, super, nice, test	nice, shiok, awesome, hmmmmm, okay
121	A conducive work environment,  culture and values!	 Executive Assistant	11 Dec 2020	4.0	Systematic work processes & tools.	Lack initiatives & restrained recognition for contractors.
122	Great	 Customer Success Manager	9 Dec 2020	5.0	Great culture and employee focus	none i can think of
123	Good people	 Project Manager	5 Dec 2020	5.0	Work life balance n good colleagues	Not much to really rant about
124	MS APAC	 Senior Industry Executive	25 Nov 2020	4.0	Great brand and intention for a positive culture	Broad portfolio and priorities to manage
125	Company with a purpose	 Senior Manager	22 Nov 2020	5.0	"Great flexibility 
Nice and fun coworkers"	High expectations and work demands
126	Awesome	 Freelancer	13 Nov 2020	5.0	Good culture, good environment, great superior.	Nothing I can think of
127	Fast paced	 Anonymous Intern	12 Nov 2020	5.0	All resources provided if you need to execute any projects	Not much, high expectations? No cons
128	One of the best company to work for	 Operations Project Manager	15 Oct 2020	5.0	Financial incentives, company culture, first line management, training	Career opportunities outside of the US are limited
129	Great company to work for.	 Product Manager	11 Oct 2020	5.0	"Drive for innovation.
Smart and nice people."	I do not think of one.
130	Working culture	 Planner	11 Oct 2020	4.0	Employees are flexible working from home	Few interaction with other departments
131	good work life balance	 Customer Success Manager	6 Oct 2020	5.0	i would say pretty good	i think im quite satisfied
132	Best company I've worked for	 Senior Director, Sales	4 Oct 2020	5.0	Growth Mindset culture is outstanding	Can be complex and a stretch
133	Amazing	 Director	15 Sep 2020	5.0	Exceptional work and pay get u going	Nothing i know i could write here
134	Great place to work	 Operations Program Manager	26 Aug 2020	5.0	Clear direction and lots of ownership over work.	Very matrixed organization and sometimes hard to get things done quickly.
135	Good company	 Project Manager	21 Aug 2020	4.0	"Flexible hours
Contractors are treated good and with similar opportunities at work as the FTE would 
Option to apply for roles internally 
All events are open to contractors"	"Salary for Contractors not market aligned 
Calls could be scheduled late or too early in morning if you’ve to work with US team regularly"
136	Great environment	 Human Resources	18 Aug 2020	5.0	"Work life integration
Diversity and Inclusion
Open culture to discuss challenges 
Growth mindset"	Not really a con but HR team is mainly non locals due to internal transfer of talents from overseas
137	Great place to work	 Senior Consultant	14 Aug 2020	5.0	"Good learning opportunities
Growth opportunities are good provided one is in the right business group and region"	"High work pressure
Long hours of work"
138	Great employer	 Senior Program Manager	1 Aug 2020	5.0	Flexibility, empowerment, growth and learning mindset	Fast paced, competitive, cut throat, tough stakeholders
139	A corporation on the rise	 Product Marketing Manager	30 Jul 2020	5.0	It's a large corporation with a long history. In the recent years it is on the rise, both in terms of market share and stock price. The atmosphere has also changed to the better under the new CEO, Satya Nadella. The company is navigating the coronavirus crisis well, another encouraging sign.	A lot of the decision are made in Redmond and cascaded in the top-down manner to the field. They might be also geared towards the US and other developed markets, so you might have to work to adapt them to the realities of your market.
140	Great CEO	 Senior Manager	21 Jul 2020	5.0	great future in tech industry, decent pay	competitive environment and complex organization
141	Used to be good	 Engineer	19 Jul 2020	3.0	Used to be very good	low salary pay annual bonus
142	Great company to work	 Senior Finance Manager	12 Jul 2020	5.0	Systematic, goal oriented, and performance driven	Less flexible, less opportunity to grow
143	MS	 Analyst	25 Jun 2020	4.0	Learning and development opportunities, Flexible working hours, Supportive team culture	Do not feel that much part of the team as a contractor from time to time, Some restrictions on contractors as compared to FTEs
144	A place to work for	 Intern	17 Jun 2020	5.0	Awesome culture and international colleagues	None so far. It's just that awesome.
145	Great culture and customer impact focus	 Anonymous Employee	11 Jun 2020	5.0	Good work life balance with respect for the employee	Can be political as with large organisations
146	Good company	 Architect	3 Jun 2020	5.0	Salary Okay and Good location	Not a developer center in SG
147	Great	 Senior Program Manager	31 May 2020	5.0	Inclusive, good values and grows employees	N/A None None None None
148	Lovely company to work for	 MBA Candidate	13 May 2020	5.0	growth mindset and culture of managegment, innovation	Subsidiaries does not always follow corp. guidelines
149	Great place !! Great opportunities	 Senior Architect	4 May 2020	5.0	Great place to work, with good exposure to technology and business aspects of transformation	I dont find much things to complain at MSFT. Its a good place to work
150	Great company to work in...	 Sales Manager	1 Apr 2020	5.0	This is one place where you can learn so much from...	Be prepared to be the best that you can be EVERYDAY! You need to bring your A Game - 100% performance based company. They say they care for your well-being but they care about your performance more than anything else.
151	Great place to work, awesome company	 Business Group Lead, Data & AI	4 Feb 2020	5.0	Great people, great company, great bosses	There aren't any, Microsoft is an awesome place to be!
152	Nice People, nice workspace	 Anonymous Contractor	30 Jan 2020	3.0	Nice people, nice workspace, good spirit	no work and life balance
153	A good place to work	 Data Center Technician	27 Jan 2020	5.0	Excellent compensation and good culture	I didn't see any :-)
154	Software Engineer	 Software Engineer	9 Jan 2020	4.0	Structured work. worklife balance, eventful	Sometimes high stress, hard to communicate through work
155	TAM	 Senior TAM	18 Nov 2019	4.0	Freedom to strategize and work with customers	became very salesy as the job evolved.
156	Very innovative	 Channel Sales Manager	18 Nov 2019	5.0	"- lots of innovation
- good package
- flexible working culture"	"- high level of bureaucracy 
- need to play office politics to get to good jobs"
157	Microsoft is pretty awesome	 Technology Specialist	4 Nov 2019	5.0	Autonomy Innovative Flexible Growth Opportunities	Complex Fast-paced Stressful Busy Red-tape
158	a new and fresh graduate	 Senior Process & Equipment Engineer	16 Oct 2019	1.0	a good and pleasant working environment	a stress and hard working condition
159	Great company	 Audience Marketing Manager	15 Oct 2019	4.0	You can see the vision, not only related to products or solutions but also in your daily life which is important motivation. Still, I believe the people are top-notch with business manner, mindset, resourceful and brain and it has the world class marketing model and business structure.  Yeah you wouldn't probably believe me, but try somewhere else, then you will know what I mean.	The company is mature, which means sometimes it requires lots of layers and processes. I was working in Asia-Pacific Headquarters and there are waves like all the majority of people in the team are from 1 country, where even had no relevance.  to Asia at all. (Imagine, APAC office, 70% are either 1 of European countries or Latin America...)
160	Great culture, complex work, comfortable compensation	 Business Operations Manager	12 Oct 2019	4.0	Great culture with people that are supportive	Complex work especially in global roles and comfortable compensation
161	Microsoft ATS	 Account Technology Strategist	29 Sep 2019	4.0	Great learning and best minds to learn from especially impact of technology on world problems	Very demanding workplace and few managers under-estimate the new hires
162	Commercial Category Manager - SEA	 Anonymous Employee	11 Sep 2019	3.0	Good pay, diverse role options	frequent org changes, not stable work environment
163	Middle management bullying and politics	 Anonymous Employee	31 Aug 2019	2.0	"- Flexible, working from home accepted and encouraged, however takes more effort to establish work relationships.
- Benefits are good when compared to non-IT companies."	"- Many silos in the company with obscure roles. This is a place for people to hide their incompetence, particularly middle management.  

- Bullying is dismissed when escalated to senior leadership. HR function largely outsourced and impersonal. There are pages of instructions on what to do and how grievances are handled but no clear accountability. 

- Incredibly political and bureaucratic. It’s about who you know to get ahead, not your merits or performance. If your manager does not support you (or worse still, take credit for your work) you won’t get anywhere. 

- Feedback is ignored. 

- If you’re ambitious and want to make a difference or grow in your career, don’t come here. You’ll be frustrated and pushing constantly uphill. Whilst the growth mindset is preached, it’s not the reality. The culture doesn’t support it, the reporting lines don’t support it and least of all, management doesn’t support it. 

- Middle management spin their wheels to justify their existence - lots of micromanaging, doing things for the sake of it rather than what is efficient or effective."
164	Fast paced environment with many career opportunities	 Solution Sales Specialist	20 Aug 2019	5.0	If you love working in teams in a highly dynamic environment with fast evolving technology, this is an amazing place! With the size of the business, it also brings many career opportunities with colleagues from all over the world. Been here for 8 years and will hang on until they kick me out! Although not easy everyday with the speed of change and the amount of work, I'm having the fun of a lifetime.	The organization is a matrix with multiple stakeholders to manage, if you're an individualist more than a team player, not the place to be. Navigating it to get things done is complex, if you can't deal with internal complexity and sometimes chaos, not the place to be. If you are not comfortable with ambiguity and with change, neither a place to be.
165	Business Operation Analyst	 Business Operations Analyst	11 Aug 2019	4.0	good payment and working environment. nice colleagues.	sometimes the work could be very hard. prefer candidates who own related experience.
166	Good perk, competitive working environment	 Sales Consultant	5 Aug 2019	4.0	Good perk, lots of training opportunities, smart people	competitive working environment, low job security
167	Good but not great	 Anonymous Contractor	2 Jun 2019	3.0	If you got great team, you will have great experience working in Microsoft	Always speak about inclusion but never really practice it. Lack of empathy for contract stuff. No opportunity for conversion. Treat contract stuff like slave.
168	Microsoft singapore	 Operations Specialist	17 May 2019	4.0	Good working culture. Interesting insight into Microsoft's take on advertising	As a contract staff, majority of learning opportunities are unavailable to you.
169	Proud to be working for Microsoft	 Senior Supply Chain Manager	3 May 2019	5.0	Work hours flexibility, good benefits	Non pyramid structure and interconnected-ness of functions requires one to go out of the way to get things done. Cross time zone work
170	Microsoft is going to be company of future.	 Software Developer	16 Apr 2019	4.0	Excellent culture to maintain work life balance	lagging behind in catching up to newer technologies
171	Great company to work in	 Sales	4 Apr 2019	5.0	Great people and good culture.	May need more work life balance but still managable
172	Generally good perks and benefits	 Anonymous Employee	11 Mar 2019	4.0	Big corporate has a good bargaining power for employee perks	Not much time to enjoy perks while you are constantly on the run
173	Architect	 Architect	17 Feb 2019	4.0	Great company. Great things happen when you do great things is true to this place.	"Right person for the right job should be the motto, in the process of restructuring or retaining employees in the department this is missed or misaligned.
Not a pay master."
174	Great Company to work for!	 Program Manager	8 Feb 2019	4.0	If you are willing to learn, its a great place to gain experience and learn from the elite. Mobile work arrangement where employees can work from home/ in the office	can be very fast pace and loaded with Global and regional projects. need to make an effort to work towards worklife balance for employees
175	MSFT Review	 Senior Software Engineer	2 Oct 2018	5.0	"- big name
- innovative company
- flexible"	- too much of process
176	Tech company	 Global Support Specialist	10 Sep 2018	3.0	flexible work arrangements, work from home allowed. open conversations.	little or close to no opportunities for conversion to full-time employee. management is not transparent. roles created for the sake of creating.
177	Overall satisfied	 	4 Aug 2018	4.0	Extremely challenging work in a fast paced industry	No comments to be honest
