	Summary	Job Title	Date	Overall Rating	Pros	Cons
60	Ambiente acelerado e objetivo	 Anonymous Employee	3 Mar 2023	5.0	Ambiente desafiador Colaborador tme impacto direto na operação Decisões baseadas em fatos	Exige adaptabilidade alta Régua alta
61	Shopee	 Analyst	3 Mar 2023	3.0	Diverse culture Good people Fast paced	Bare minimum with benefits not competitive salary
62	Big tech company with a toxic work culture	 Associate	3 Mar 2023	2.0	- A lot of things to learn - Can be good to gain working exposure into data/tech in beginning of career	- Toxic work culture, OT is expected regularly - Expect to be responsive on and off work on company chats - Lack of empathy through and through, try to avoid if possible
63	Overall not too bad	 Key Account Manager (KAM)	2 Mar 2023	3.0	- Flexibility - Openminded young culture	- Long working hours during peak days
64	Great place for mid-career people	 Categroy Manager	2 Mar 2023	4.0	Good base pay package for experienced professionals	Low basic pay for fresh grads
65	Great company, but closed	 Business Development Manager	2 Mar 2023	5.0	horizontal organization, fast-paced, adaptable, and results-oriented. Talented young people worked there and had the necessary ownership to provide results independently.	Closed because of too-fast expansion and burn rate
66	Shopee Philippines Experience	 Relationship Manager	2 Mar 2023	3.0	Chill environment, full of competitive employees	No structure, fast paced, no growth
67	good	 Associate	2 Mar 2023	5.0	the company is good la~	MNC management 123 123 123
68	Very good learning opportunities for fresh grad	 Software Engineer	2 Mar 2023	4.0	- Encourage engineers to dive deep into the technologies and engineers do have time to digest - Good WLB (at least for me), but this depends on the team	- No compensation during oncall - Non-engineers are treated as second-class citizens. PMs do have a hard time there and they most of the time are just focusing on execution rather than thinking of new ideas
69	Good	 Anonymous Employee	2 Mar 2023	5.0	Environment Chances to learn Active	Busy Overtime Fast Overload sometimes
70	Good place to work	 Graphic Designer	1 Mar 2023	4.0	They offer good benefits to their employees	Depending on which team you get into, the workload can get pretty heavy on campaigns
71	It was ok	 Intern	1 Mar 2023	5.0	Provided lots of support and created a good working environment.	Was let go pretty early.
72	-----	 Business Development Associate	1 Mar 2023	4.0	Good company with great people	Long working hours 9 9 6
73	Good	 Business Development Associate	1 Mar 2023	4.0	Friendly environment , friendly colleague,	Not much thing to learn
74	Finance	 Finance	1 Mar 2023	3.0	Direct team is fun and good at their work	Need to invest in proper systems. Ways of working too old school.
75	Good start for fresh grad	 Marketing Associate	1 Mar 2023	4.0	Good working culture, company benefits.	Working hours could be long for some department, but the flexibility of the company is good.
76	Vibrant Place	 Relationship Manager Associate	1 Mar 2023	5.0	Shopee has the most vibrant place to work. The office equipment, pantry, and ambiance are very nice especially for the youth.	It is a great place to work however, there are many process that can be done automatically through a centralised system
77	good place to work	 Senior QA Engineer	1 Mar 2023	3.0	Flexible working hours employees decision is valued in terms of work	No hike for year 2023, No promised bonus pay, lot of manual work
78	nil	 Team Assistant	1 Mar 2023	2.0	used to be better until all the laid offs came bout, coffee machines and snacks are all gone	no communication, like to delay and ended up you will be overworking due to their late replies, basically we are like baby sitting the teams to chase them for a simple update. literally simple update like yes/no
79	I was laid off by Shopee PH last September 2022	 Business Development Associate	28 Feb 2023	4.0	A great place to work	None, since I got laid off.
80	My team lead and senior manager has been very supportive of my growth	 Senior Associate	28 Feb 2023	3.0	There is no KPI, you are left on your own to target your accomplishments and goals for the year. It is up to your capacity and capabilities.	The higher management has stopped increment and pro-rated bonuses to employees who have not received a promotion for year 2022. However, the workload keeps increasing for the year, which is a bit unfair
81	-	 Businesss intelligence Analyst	28 Feb 2023	4.0	Fast paced Lots to learn Supportive team	Be prepared to work very veryyy hard especially near the big campaign High turnover so you might end up with small team with lots of work (and leftover work from someone else)
82	good	 Senior Software Development Engineer In Test (SDET)	28 Feb 2023	3.0	good salary and good comp	very chinese oriantated speaking company
83	Bad culture	 Associate	28 Feb 2023	1.0	- salary is considered higher than SME or non tech companies	- lack of empathy for employees - sudden cut of benefits - bad leadership
84	Best colleagues but average leaders	 Reg Ops Associate	28 Feb 2023	4.0	I have met the best people here, outstanding, polite, respectful and friendly. But work culture varies across team.	Some teams have bad working culture such as working late all the time. WFO 5 days
85	You can learn a lot, fast paced, but culturally skewed	 Product Manager	28 Feb 2023	3.0	- Able to learn many relevant skills - Take on projects and ownership - Good colleagues and collaborative style	- Highly skewed in proportion of Chinese, hence culture will be more Chinese - Write, work and speak in Chinese. Hard to be hired if you do not speak Chinese
86	Not bad	 Senior Software Engineer	28 Feb 2023	4.0	work life balance, not bad	salary is not high compare to other companies
87	not so bad	 Senior Data Scientist	27 Feb 2023	4.0	1. no need to work over time 2. flexible and relaxing management	1. not so many interesting business
88	chaos	 Intern	27 Feb 2023	2.0	The people in my department were really nice!	It was a little messy, I guess cause people were getting used to work from home, but there seemed to be very little cross-functional collaboration
89	normal	 Data Engineer	27 Feb 2023	4.0	offer high payment and kind of WLB	bad infra and chaos management
90	One of the best company	 Associate Content Specialist	27 Feb 2023	5.0	I had the best year in Shopee. They’re very thorough with work and also have a specific schedule and training in line. A very thoughtful company too.	Nowadays, have to work at the office.
91	Experience in Shopee	 Growth Marketing Associate	27 Feb 2023	3.0	Learn alot as a fresh graduate.	Make alot of mistakes as well.
92	everything is good Before managed by CN	 Software Engineer	27 Feb 2023	4.0	1. have many oppetunities to build systems	1. after managed by CN, too push, and wrong direction, everything is bad
93	Steep learning curve but	 Senior Associate	27 Feb 2023	3.0	Great team, you will be working with some of the brightest and most fun bunch of people	People tend to not feel valued or heard by mgmt
94	might suitable for early career	 Marketing Project Lead	27 Feb 2023	3.0	- a lot of projects, suitable for early career to gain experience and big names - collaborative culture within teams	- very top down but unclear in terms of objective and how to get there, sometimes can get subjective - not paretto, so work life balance is very challenging
95	being part timer	 Warehouse Operative/Picker	26 Feb 2023	4.0	great career working the at the warehouse	in my experience i would say there is no cons
96	Normal review	 Senior Category Management Analyst	26 Feb 2023	2.0	Not much to talk about	Bad HR to begin with and then everything is very chaotic, gossipy people
97	Heavy work hours, low pay, slow career progression but great work environment	 Marketing Specialist	26 Feb 2023	2.0	- great and supportive work environment - high level of autonomy	- slow career progression (can only be promoted after a fixed number of years) - salary is not fairly compensated for the amount of work you do - long work hours (inevitable OTs)
98	Just no	 IT Helpdesk Analyst	26 Feb 2023	3.0	Good team dynamics Modern office	Management Toxic Limited career growth
99	N/A	 Senior Product Manager	26 Feb 2023	2.0	young colleagues, friendly atmosphere, flat organisational structure	Low bonus, slow progress, uncooperative Development teams
100	Good	 Associate ECommerce	26 Feb 2023	4.0	Nice buddy in our team	Company changes a lot, we should be more cost saving in mind.
101	Not pro employee	 Senior Fraud Analyst	26 Feb 2023	3.0	Light workload Great Building View	Pro company Incompetent Managers and Team Leads
102	Salary	 Quality Assurance	25 Feb 2023	4.0	Fast growth and very fun place to work with.	Team management was struggle at the beginning due to lack of employee.
103	Good place	 Relationship Manager	25 Feb 2023	4.0	Big and nice office, great colleagues	Team is too big leading to cost cutting measures recently
104	Don't care about design	 Ui\Ux Designer	25 Feb 2023	3.0	Business development not bad, salary slightly above average	Boss doesn't care about employees, everyone is ok to lose. People got laid off have way better compensation than who stay in the company.
105	No Career Growth	 Dispute Specialist	25 Feb 2023	3.0	For experience, yes, please take the chances	but for career growth... sometimes they didn't appreciate enough their employees
106	Horrible	 Customer Service Representative	24 Feb 2023	1.0	Facilities in the office is good like food etc.	Forced overtime at no extra pay, low class managers and leads who are unprofessional.
107	The company doesn't care about quality	 Senior Software Engineer	24 Feb 2023	2.0	Give you a lot of autonomy (could be to the point you think they don't care about you)	Just doing a bunch of projects with poor quality instead of improving the quality of existing products is how you get promoted, and it's a cultural problem because everyone is doing that, the people who care about quality and try to improve the products will have a huge disadvantage compared to those creating more debt for the incomers.
108	Project manager	 Assistant Manager	24 Feb 2023	3.0	Fun work, fun time, can see business value	Poor management, cost cutting, HR can be managed better, underpaid
109	I really enjoy to work there. Very good people	 Business Development	24 Feb 2023	5.0	People, HR, location, leadership and benefits	What lead me to leave was salary
110	Little exposure	 Business Intelligence	24 Feb 2023	3.0	Lots of data to analyze Dynamic business environment Young and fun culture	Messy data Just extract data for business without knowing the purpose
111	996	 Software Engineer	24 Feb 2023	3.0	Work much and learn much	No work life balance. 996
112	Good team culture	 Product Manager	24 Feb 2023	5.0	Excellent team culture that promotes learning and mental health	Bonus cut in half this year due to recession
113	Senior Associate	 Senior Associate	24 Feb 2023	4.0	Good pay, constant growth (new projects)	obligatory 3 days from the office
114	ok	 Commercial Associate	24 Feb 2023	4.0	flexible boss, so long work is done everything is ok	removal of benefits, constant restructuring
115	Good for growth and development	 Team Lead	24 Feb 2023	4.0	Provides good opportunity to learn and expand your capabilities as you can engaged in multiple projects	At the expense of your time
116	Good Employee Benefits	 Business Development Associate	23 Feb 2023	4.0	Shopee provides very good employee benefits. Working environment is great as well. A good place for fresh grad to start their career.	In terms of operations, everything is very manual and repetitive.
117	Nice working environment and Good colleague	 Business Development Executive	23 Feb 2023	4.0	- Good working environment - Good colleague	- No work life balance - Salary Paid is not equal to the work - No more flexi working
118	Young work environment	 Anonymous Employee	23 Feb 2023	3.0	Nice team members, open culture	Work life balance, fast paced environment
119	worked here	 BI Analyst	23 Feb 2023	4.0	good chance to learn in a big company	None so far. you experience depends on your leader.
120	Good	 Anonymous Employee	23 Feb 2023	4.0	Good team Good culture Fast paced	Benefit and facility No remote work
121	Fast paced	 Manager	23 Feb 2023	4.0	- good opportunities - fast paced	-hr policies are not strong
122	Great Competitive Environment	 Business Intelligence Analyst	23 Feb 2023	4.0	Alot of growth back in 2021	"Long hours, ""stakeholders"" always right approach"
123	Shopee is good	 Relationship Manager	23 Feb 2023	5.0	Good culture, friendly colleagues and work life balance	Currently under restructuring phase, might be much more hectic
124	Need to improve the management approach	 Expansion Manager	23 Feb 2023	2.0	-good salary package for experienced employees -	- Continuously removing benefits like allowance. - micromanaging all employees - onsite work
125	OK	 Business Intelligence	23 Feb 2023	2.0	Good culture, good people to work with	A lot of work, face pace
126	Ok for first jobbers	 Relationship Manager	23 Feb 2023	3.0	Good work culture, millenial co workers	Office politics and seniority. KPIs and bonuses werent properly discussed and executed
127	Shopee Review	 Talent Acquisition	22 Feb 2023	3.0	fun environment, good learning, new friends	too much workload, minimum pay, uncertain career path
128	-	 Business Development	22 Feb 2023	5.0	Nice work environment and good team	Almost everyday feels like peak day
129	So so	 Relationship Manager	22 Feb 2023	4.0	good place to develop your skill	workife balance not quite good
130	life at shopee	 Product Manager	22 Feb 2023	4.0	great office amenities and space	long working hours at times
131	Well enough	 QA Engineer	22 Feb 2023	4.0	Harmony group (before 2021) benefits are ok	lot of tasks no lunch
132	Shopee Finance	 Finance Associate	22 Feb 2023	5.0	Work life balance Compensation Benefits	Tools Trainings HQ Management Career Progression
133	Shopee is a great place to work	 Customer Service Representative	22 Feb 2023	5.0	Shopee provides good service to all employees and always makes sure that we are happy and okay.	More interaction with the higher ups in abel for them to always make sure that employees are okay.
134	Fun. Just Fun.	 Senior Analyst	21 Feb 2023	4.0	1. Environment 2. Employee's wellbeing and welfare	1. Very young management 2. Lack of leadership 3. Lack of Employee's career advancement and progression
135	good place to grow	 Quality Engineer	21 Feb 2023	5.0	more chance to handle complicated system	recently more org changes in the team
136	-	 Category Analyst	21 Feb 2023	3.0	good environment and great people in the team	there is no salary adjustment
137	Good for junior starting point , not recommend to stay long	 Product Associate	21 Feb 2023	2.0	- good exposure of wide range of products and markets where it operate - great for self starter, can initiates changes easily	- lack of diversity (life will be hard for non Chinese in product stream ) - inexperience management / leader (lack of leaderships and mentorship quality ) - high turnover - do not value much personal competence ( tenure > personal strength & contributions )
138	Absurd Management	 Product Manager	21 Feb 2023	2.0	Colleagues are really nice with impressive track record.	I don't know if the management team becomes hysterical after the stock price plunged a lot. No increment, literally better-than-nothing bonus, then employees complain about it so they offer voluntarily lay-off provided with N+2... apparently many of my stakeholders left and now all projects have to postpone due to lack of manpower... Absurd... Hilarious... Ludicrous....
139	Great	 Marketing	21 Feb 2023	5.0	Great company, great company benefits	Stress, need to cope with stress
140	good experience	 Internship	21 Feb 2023	5.0	good people, culture and benefits	long hours, intense at times
141	overall great	 Expert Engineer	21 Feb 2023	5.0	have good tech team culture in my department , people are willing to help each other, and sharing atmosphere is good.	the management team is not that good , lack of management experience , don't know what they can do to bring shopee to next level
142	Good environment!	 Business Development	21 Feb 2023	5.0	Helpful colleagues & very good culture	long working hours due to preparation of campaign but is understandable
143	Good	 Senior Analyst	20 Feb 2023	3.0	Growth, workmates, opportunity to explore	Daily office No allowances (transpo, etc)
144	Simple and comprehensive job platform	 Assistant Category Manager	20 Feb 2023	5.0	So far quite good and excellent platform	No concerns so far, thank you
145	ok	 Human Resources Specialist	20 Feb 2023	5.0	ok, fun, good environment, supportive	small salary, work from office
146	Average	 Senior Analyst	20 Feb 2023	5.0	Good pay and good working environment	No structure and mgt decisions are bad
147	All was good till the lay off	 Relationship Manager	20 Feb 2023	3.0	Good teammates and used to have a great culture	Everyone is leaving due to previous company restructuring
148	Great culture but heavy workload	 Senior Data Analyst	20 Feb 2023	4.0	- teammates are all within the same age (mid to late 20s) so very easy to connect for young employees starting out with their career - team culture internally is very positive, health is always prioritized - managers are super nice	- workload can get quite heavy - tech is a little unstable at the moment
149	Great Company	 Analyst	20 Feb 2023	4.0	Great benefits and incentives for employees	Company is prone to downsizing
150	Working at Shopee	 Release Management Engineer	19 Feb 2023	4.0	Good colleagues, they are very nice	less snacks and no work from home now
151	Employees are not valued	 Business Development	19 Feb 2023	2.0	A good place to join to learn about e-commerce.	Employees' contributions are not valued and the senior management is not flexible.
152	Bad management	 Associate Product Manager	19 Feb 2023	2.0	Freedom in deciding what project to do	Too much freedom, no guidance, no SOP
153	Great ambience	 Relationship Manager	19 Feb 2023	5.0	My colleague are friendly and always support	dont have any cons for now
154	Mid-tier Company	 Human Resources Business Partner	19 Feb 2023	3.0	Above average salary Great workmates Beautiful office	For a tech company, management decisions are backwards and does not care about the situations of the employees. Some of the cost-cutting decisions are head scratchers 100% BTO
155	Review	 Junior Associate	19 Feb 2023	4.0	- benefit - environment - learn a lot of things	- fast-paced - overtime - tight deadline
156	Little increment	 Business Intelligence Analyst	19 Feb 2023	4.0	Growth, Nice coworker, growing business	Office not accesible, low increment, long hours of work
157	Review from 2 years staff	 Associate Business Intelligence	19 Feb 2023	2.0	Fast moving. Good for fresh grads	Lots of benefits been retracted
158	Well Employer, lots of work	 Associate Manager	19 Feb 2023	4.0	- self development, - great environment, - good salary	- micromanagement, - bad processes
159	Good company for Data scientist	 Data Scientist	18 Feb 2023	4.0	good salary above market value	unstable environment, in danger of lay off
160	-	 Manager	18 Feb 2023	5.0	Good compensation Nice colleague and boss	Work from office - 5days a week
161	Great culture	 Business Development Manager	18 Feb 2023	4.0	Great culture, work life balance, young crowd,	KPIs not structured, not hybrid
162	Perfect for those seeking challenges	 Associate	18 Feb 2023	4.0	Working environment is great! Great supportive colleague! A little flexi on working hours.	Believe it when we say no work life balance. The ad hoc task has deadly deadlines and it's exhausting.
163	Current Shopee	 Manager	18 Feb 2023	4.0	Competitive for make the best version of you	Raise if promoted and some like and dislikes kind of stuff
164	Shopee Experience	 Copywriter	18 Feb 2023	4.0	Opportunities for growth and development Supportive work culture Global reach	Communication issues and inconsistent management
165	Review	 Business Analysis Sr Analyst	17 Feb 2023	4.0	Good benefits package and annual bonus	Too much workload and no work life balance
166	Worst CSMY management	 Customer Service Representative	17 Feb 2023	1.0	Free food and easy to do job	CSMY management was one of the worst i encountered in my working career.
167	Overall Great	 Manager	17 Feb 2023	5.0	This is a growing company with many opportunities	See it as a star-up with some typical problems in business development
168	Nice office	 Software Engineer	16 Feb 2023	4.0	nice office, good vibes, good colleagues	working pace, process, parking basement
169	E-commerce Associate	 Associate Compliance Officer	16 Feb 2023	5.0	Learning growth, assignment of projects	Since business efficiency rolled out salary increase only applies for promotional purposes
170	ex-employee	 Recruitment Lead	16 Feb 2023	4.0	good salary, opportunity to build sth from scratch, nice people	top-down management, high level of confidential informations
171	Fun workplace	 Business Intelligence Analyst	16 Feb 2023	3.0	Culture is great and people are great	There were layoffs, they did budget cuts
172	Great work environment and creative opportunities	 Senior Marketing Analyst	16 Feb 2023	3.0	Numerous projects and room for creative initiatives and suggestions	Increasing workload and work division
173	Challenging and interesting work, but poor management	 Machine Learning Engineer	16 Feb 2023	3.0	Challenging and interesting work, a lot of opportunities to learn	Significantly reduced employee benefits and welfare
174	dont bother	 Team Assistant	16 Feb 2023	1.0	facilities, space and use of pantry	super competitive environment, high turnover rate, low pay if not from elite school, 24/7 working so you wont have time to use the facilities
175	Marketing Associate, Campaign Strategy	 Marketing Associate	16 Feb 2023	4.0	- Great support system - Spacious Office	- Reduced benefits - Stagnant growth opportunity - Unstable
176	Long working hours, low-ball salary, incompetent management	 Product Manager	16 Feb 2023	1.0	My co-workers here are very talented with an international background	Managers suck at work. Company policies are constantly changing every month. Worst company culture I've seen. Expect no personal growth within the organization.
177	quick adapted company	 Manager	16 Feb 2023	4.0	straight culture and strong vision and strategy	high turnover of staff due to quick expansion and hard to staff to catch up
178	Rating for Shopee BD internship	 Business Development Intern	15 Feb 2023	4.0	- friendly envn - challenging environment, supports your growth	- pushes you out of comfort zone - instructions sometimes not clear
179	Senior Analyst Salary	 Anonymous Employee	15 Feb 2023	4.0	Environment, Perks, Benefits, SL conversion, Work-life Balance	Onsite set-up, No salary alignment for old employees
