	Summary	Job Title	Date	Overall Rating	Pros	Cons
17	A good place for you to learn new skill and knowledge.	 Seller Community Manager	12 Feb 2023	5.0	Great way to have career progression. You will learn a lot in Lazada. And promotion is based on your work. which is very good	Recently it has been change to new management style, so have to adapt to a new style. Work life balance not very good. Burnout
18	Great company!	 Senior Business Development Manager	11 Feb 2023	5.0	Great company culture Forward thinkers Passionate leaders who are expert in the field	Heavy workload at times, most specially during campaign periods
19	Change is the only constant, not for everyone	 Key Account Manager (KAM)	10 Feb 2023	1.0	Good salary packages and benefits	- Toxic working environment with minimal support from your line managers, especially during peak business periods, but they expect you to pick up and perform swiftly - Favoritism and unprofessional higher-ups - Analog working style as they are not in sync with G-suites - Messy and lack of streamlined process causing double work for everyone - Have to stay up very late for consecutive days during the double-digit period - Do expect office politics
20	CRM Head	 Head of CRM	9 Feb 2023	3.0	Fast and you are exposed to a lot in the world of ecom	overworked and underpaid and not valued except for driving results and numbers. You become a factory worker
21	Product Manager	 Product Manager	8 Feb 2023	3.0	Nice colleagues, young enviroment, relatively decent amount of autonomy at work.	Messy and inefficient organisation, subpar salaries, lack of clear vision, ok benefits for a tech company.
22	salary	 Account Manager	8 Feb 2023	5.0	all good all good all good	nothing nothing nothing nothing nothing
23	Good	 Marketing	7 Feb 2023	4.0	Nice and friendly Colleague. Good.	Online industry need to work in really fast pace.
24	Learnt a lot of things	 Project Management Office (PMO)	7 Feb 2023	4.0	- international exposure - good to build network and connections - steep learning curve	- hard to get promotion - not really having work life balance
25	large organizational problems	 Associate	5 Feb 2023	2.0	health care benfit is good	many - politics, ineffective leadership which in turn leads to ineffective employees hired
26	Analyst	 Analyst	29 Jan 2023	3.0	Surprisingly good work-life balance, good health insurance coverage	Constant restucturing, bad management decisions
27	I could have the experience of the Chinese multinational E-commerce company.	 Key Account Manager (KAM)	28 Jan 2023	4.0	working with people located in different countries, could connect deeper with my sellers, feel the achievement as a team	Chinese E-commerce industry was facing many difficulties, so the team was getting smaller and we were facing many issues with the budget to grow the business.
28	Good	 Analyst	28 Jan 2023	5.0	Good company at office Jakarta	Good company facility office Jakarta
29	Empty shell	 Commercial Director	27 Jan 2023	3.0	Challenge, self-learning, tech access, C&B	No strategy, disconnected with Sellers, focus only on management wishes not on market needs.
30	It's a Chinese company now	 VP Operations	27 Jan 2023	2.0	The colleagues are great and the work place environment is a cosy place to work.	There are so many non Chinese colleagues but during conversation with the China team meeting, it will turn out to be Chinese conversation meeting. Plus there is no clear direction from top mgt leaving everybody clueless with leaders keep changing every year. The road map and mission statement always never aligned resulting conflict. And the bosses from China always like to finger point rather than solving the immediate situation.
31	Work Life Balance	 Key Account Manager (KAM)	27 Jan 2023	5.0	Good employee engagement, a very solid team ever, stable, good salary	Many sudden changes for almost every campaign, need to be very agile working in this company
32	Toxic Culture	 Operations Manager	26 Jan 2023	5.0	Fair compensation. Relative to other conpanies within the same industry or endeavor, the pay, I should say, is more generous. Business model, organizational structure, and facilities are cut above the rest.	Tenured employees are very territorial especially to newly onboarded managers. Too much crab mentality, silo-thinking, back-stabbing, and politics. Superiors are also overly condescending and obviously one-sided when it comes to listening and gathering feedback.
33	new here	 Campaign Data Analyst	26 Jan 2023	4.0	- very systemic - free coffee / fruit / breakfast	- too many platform - wfo
34	Change is the only constant	 Manager	26 Jan 2023	4.0	It's the place to learn e-commerce (platform) and the driving force behind it (user growth, seller growth, product assortment, dynamic pricing, fulfilment etc.). Regardless of which department or function you're attached to, the exposure to the business is almost direct. Great for learning. Love the mega campaign seasons. It's hectic, but everyone works towards a common goal.	The relentless pursuit for more growth (not unexpected) layered with unnecessary constraints from group/regional doesn't go hand-in-hand most of the time, or at all. Some constraints are okay. But some were outright ridiculous (i.e. no hiring due to lack of demonstrated growth). When commercial roles are bogged with administrative tasks that takes up 70-80% of their time. This is not a good use of their time/resource.
35	Constant Mgmt Reshuffle	 Anonymous Employee	25 Jan 2023	4.0	Relative financial stability despite industry headwinds	Constant Mgmt Reshuffle; Bell curved performance appraisal; Needs to justify the value and worth of current work after each mgmt reshuffle (i.e., all year long)
36	good	 Key Account Manager	25 Jan 2023	4.0	good a lot chances to grow	company strategy not as good. top down management not so good
37	Culture	 Marketing	24 Jan 2023	3.0	Quite lively, interesting colleagues around	can be stressful sometimes due to fast paced environment
38	good	 Analyst	23 Jan 2023	5.0	good conpany and I like thenpol	no break and allowance for us
39	Good company benefits but lacks in leadership	 Product Manager	22 Jan 2023	4.0	Good compensation, performance bonus and increase. Love also the benefits	During campaign season, requirement is to be onsite for 12-14 days straight
40	Lazada	 Senior Associate Category Manager	19 Jan 2023	5.0	much authority, great people here	sometime have a bit political issue in management level
41	Good working environment and smart colleagues	 VP Engineering	19 Jan 2023	4.0	Dynamic and performance-driven culture Nice perks and office	The Chinese management took over
42	Good	 Performance Manager	19 Jan 2023	5.0	The benefit is really good	Working under pressure can make your life unbalanced
43	lazada work	 ACommerce Lazada 2021	18 Jan 2023	5.0	good teaching at lazada... 😃	we can't write in notebooks...
44	Depend on teams	 Senior Associate	17 Jan 2023	4.0	Young and dynamic environment, lots of room for creativity, great learning curve	Too many changes, depends on department there can be politic games
45	BEST	 Business Consultant	17 Jan 2023	4.0	has the best workmates and bonus	nothing bad about it to say
46	No proper policy	 Senior Manager	17 Jan 2023	1.0	Nice pantry, good location, nice colleagues	No strategic directions, leaders are not leading correctly.
47	Great ressources to run marketing but culture could be improved	 Head of Performance Marketing	16 Jan 2023	3.0	Ressources (Tech / money / team)	Culture / politics / top down decision
48	Shiad	 Accountant	14 Jan 2023	2.0	More shiad of good shiad	Good shift of no Shias
49	Ok	 Associate	11 Jan 2023	5.0	A good place to work	Nothing much to share about cons
50	Bad experience	 Key Account Manager	10 Jan 2023	2.0	High salary Learning curve Great team	Mentally and physically drained No work life balance
51	not recommended	 Analyst	9 Jan 2023	3.0	fast-paced, more opportunities, salary was ok	isolated environment and poison culture
52	Good	 Content Writer	8 Jan 2023	4.0	Good work life balance and good salary Treating employees equally	There is no con as such It is a good company
53	Recommended	 Analyst	5 Jan 2023	5.0	Good colleagues and challenging environment	Company's structure needs improvement. Nothing else.
54	Good	 Sales and Markrting	3 Jan 2023	3.0	Still ok to stay have improvement	Long working hour influence work life balance
55	can experience yourself once in life	 Anonymous Employee	3 Jan 2023	2.0	- young, fast-paced environment - rooms for self-learning - a lot of bonding activities	- no personal development program, you have to figure it out yourself: what you like, what you should do, where you should learn, what support you can get... you have to do it all on your own - life is good until you unluckily working under some conservative, micro-managing or selfish line manager - higher level seems to like making things over-complicated for their personal or group benefits rather for business growth - political, dramatic
56	Challenging environment for youth. However, it is a hectic, toxic, and politic styled environment	 Business Operation Analyst	3 Jan 2023	2.0	- New projects/initiatives to embrace challenges - Good salary - Offer training classes from junior to manager level	- A hectic Worklife: You will have so many night shifts to finish the job. Sometimes, OT wage will not be allowed to be paid - Politic environment
57	Good Place for Junior	 Senior Manager	3 Jan 2023	3.0	good opportunity to explore E-commerce domain and technology.	no work life balance, the management team give preference to Taobao staffs.
58	Bad working culture and lacking of direction	 Analyst	3 Jan 2023	1.0	I cannot think of pros but is a nice office counted as pros? also flexible working style	Lack of direction in the company's route to profitability. CEO changes too often, too many leadership changes, and ever-changing culture—very very uncompetitive salaries. Lack of chance for promotion, once a staff tendered, they will hire new staff from the KL side instead of keeping old staff by promoting them. A lot of last-minute urgent changes hence will lead to OT. Sometimes meeting will be around 3am?? Manager lack of care to the staff and she constantly taking leave while the staff suffer without any rest/break
59	Lazada Senior KAM	 Senior Key Account Manager	2 Jan 2023	5.0	Encouraging Environment with great and fair benefits	Work can usually be at really fast pace, and there's so many new things to try out which could either be good addition, or time-wasting addition
60	Very good benefits	 Software QA Engineer	30 Dec 2022	4.0	- Good benefits including health insurance - Not top but good salary on the market - Large systems in e-commerce, logistics areas etc.	- KPI assessment is a joke. (eg. a fixed formula for a team with 10 people will go to 1-7-2) - Most good engineers were left - Bias in promotions
61	nice	 Anonymous Employee	26 Dec 2022	3.0	nice compony to buy online	nothing as a cons for this company
62	Not a problem	 Project Manager	25 Dec 2022	3.0	Always the best not to good	What the hell I don’t know what’s going
63	Chinese culture	 Data Analyst	23 Dec 2022	3.0	Learn alot from china pros	Alot of last minute urgent stuffs hence will lead to OT
64	Good	 Customer Service Specialist	22 Dec 2022	5.0	Friendly colleagues, Chill environment and good benefits	Low base salary than other company and each position need professional skills required
65	Good Environment	 Senior Analyst	22 Dec 2022	5.0	Good at employee benefit, lazada let us to choose our career path and what we need to improve as we want. So much snack and food	Still growing, still find out the best way to do, so change is the only constant
66	Lacking direction	 Analyst	20 Dec 2022	3.0	Great company to learn from.	Lack of direction in the company's route to profitability. CEO changes too often, too many leadership changes, ever-changing culture. Very very uncompetitive salaries. Lack of chance for promotion.
67	toxic	 Logistics Strategy Manager	17 Dec 2022	2.0	-free reins of choice on what to do -team members are generally collaborative -array of snacks in pantry and benefits	-extreme social cliques which determines how much portion given- you got to blend and bootlick hard to succeed -expect work outside the scope (part of company culture to go beyond) -constant change in management -unfair biased hr -logistics are second-class to its platform counterpart in terms of benefits
68	Work life in lazada	 Key Account Analyst	16 Dec 2022	4.0	People are good and friendly like a family. Everyone is selfless.	Too many campaigns, repeating deal hunt is really exhausting.
69	Amazing work culture	 Business Development	16 Dec 2022	5.0	Very good working environment and perks	Slow growth and weak employee rentention
70	Great place to work	 Key Account Manager (KAM)	15 Dec 2022	4.0	Nice colleagues and environment in my 8 months here	Low pay and bonus No training
71	Lack of work culture	 Customer Care	15 Dec 2022	2.0	Independent work style Open to suggestions to improve	No work culture Long work hours Constant change in direction
72	Great culture	 Anonymous Employee	14 Dec 2022	3.0	Great team culture, and a lot of opportunities for growth. They send employees out to other countries as well for seminars.	Job role is not equal to your job rank. Possible for two people to do the same job while one gets paid up to 3x higher
73	Great	 Marketing	13 Dec 2022	5.0	Lot of room to learn	Load management with less people in team
74	DO NOT COME HERE, FOR YOUR OWN GOOD	 Tech Side	13 Dec 2022	1.0	(please note that this varies amongst teams, for certain portions it can be a better environment especially if you're not involved in the tech side. however this is still a general precaution to anyone who is considering to apply here - be careful what you're getting yourself into as people from all departments leave for a similar reason anyway). 1. there is sometimes autonomy to create interesting things within the company (with a price, you will still be micromanaged to death and everyone will make you second guess yourself). 2. pantry auties and uncles are very nice. 3. you can learn a lot at the expense or your own mental health, sanity and physical health That's it.	1. no matter how much effort you put in, they will never be recognized and you will feel like a slave working for the company every day 2. if you make mistakes you are horrible to them and can be scolded badly and viciously for it 3. no clear direction, keeps changing every other day, have to keep redoing your work over and over again for no reason 4. overall, a very toxic environment that is never worth it. stay far far away 5. nobody cares about you, everyone only cares about their own personal targets and will even blame you if they can put it on you
75	Good	 Customer Service Representative	13 Dec 2022	4.0	Good environment and people at there	There is no bad in lazada
76	Lack of substance	 SAP Logistics Consultant	12 Dec 2022	2.0	Potential for gaining experience in other areas of IT. Dynamic environment	Overloaded with tasks Management do not look at total utilization or don’t care Culture requires people to make a fanfare of every task/project to justify existence
77	Decent	 Content Manager	12 Dec 2022	3.0	Work with smart people, great environment, although very fast paced	Too many change management, lack of leadership/learnings
78	Poor executive team	 Strategy	11 Dec 2022	2.0	- good ownership of work	- lack of care for employees
79	Bureaucratic. No well defined roles. No direct upward feedback	 Senior Manager	11 Dec 2022	3.0	Compensation is good. Workhours can be reasonable if you manage time well.	> Most regional employees push their own agenda > Weak HRBP > Teamwork spirit almost non existent > Manager treats you like resource instead of an asset > No clear growth path or growth measurement > No trainings provided at the regional team
80	Job Scopes Mismatch and High Turnover	 Anonymous Employee	11 Dec 2022	1.0	Good relationship with colleagues and able to work together well to finished the tasks. Helping each others.	Poor Management and lack of experience management. Lack of direction from from management. Under utilize my capability. High turnover, on hand tasks unable to finished.
81	Committing Carrear Suicide	 Senior Associate	9 Dec 2022	1.0	- Great office - Good Salary Package (If one can negotiate)	(PMT Department of Malaysia) - Strong office politics - Racism - Toxic environment - Unprofessional behaviour displayed by High management - Very inexperienced management detail - Micromanagement - Very 'Pasar Malam' mindset
82	Overall great environment	 Key Account Manager (KAM)	8 Dec 2022	4.0	- Competitive pay - Collaborative and fun work environment - Numerous opportunities	- Frequent organizational changes - Very fast-paced during campaigns
83	Great experience	 Senior Commercial Manager	7 Dec 2022	4.0	Great talented people & good employee engagement programs	Lack of structure & overall direction
84	Great place to work and learn	 Associate	7 Dec 2022	4.0	Fun, young and great learning experience	Fast pace , challenging workplace
85	Good company	 Manager	6 Dec 2022	5.0	Nice work culture and people are helpful	Too many changes and no hiring
86	A good place to start	 	5 Dec 2022	5.0	After graduating from school, I start working here. The environment is good and everyone is friendly. A good place to start	Not everyone is good at english. Although they keep learning. It can lead to misunderstand when discussing using english
87	Micromanaging, stressful, hierarchical & no work-life balance	 Anonymous Employee	1 Dec 2022	1.0	The negativity out-ranks the pros	"Lazada motto is ""Customers First employees second"". and that is very true, employees are treated badly by many managers. Cut throat environment, everyone wants to show whos boss, mistakes are highlighted to a point employees breakdown, no work-life balance, expected to reply at anytime of the day and week, resignation rates are high, expected to work late and on weeekends and holidays."
88	Fast paced & steep learning curves	 Marketing Associate	30 Nov 2022	4.0	Great for learnings, many rooms for creativity & explorations	High amounts of workloads, working overtime is pretty common for the employees
89	Fast paced and exciting	 Senior Analyst	30 Nov 2022	3.0	Lots to learn about the industry, good experience	Could use improvement in structure
90	Great learning environment	 Manager	29 Nov 2022	3.0	- Great colleagues and energy in the workplace - Good benefits - Nice office and pantry - Learn a lot in a short time through constant adapting and a steep learning curve - Open to new ideas and dare to fail (with calculated risk)	- Nature of the business is such that there is no work-life balance - Constant changes, it's too messy and disorganized, hard to achieve some level of stability - Frequent leadership movements, especially when they are always parachuted in from parent company, thus always getting new directions and goals - Multiple monthly campaigns make burnout real that lead to high turnover
91	Tight deadlines	 Key Account Manager (KAM)	28 Nov 2022	3.0	Meeting a lot of experts in the industry and can learn from them. In terms of employees benefits are quite good and above average.	Super duper tight deadlines. Too many things happen at the same time.
92	Good, but not recommend	 Technical Product Manager	27 Nov 2022	4.0	Energize company, super fast move (some of business units only)	Messy systems and internal workflow, terrible UX for internal and external users, have to work under high pressure. Not customers centric. working life there was like chaotic.
93	Senior Associate lazada	 Senior Associate	27 Nov 2022	5.0	Good environment, collegues, carrer path	None in this far, all good
94	Good	 Customer Care & Compliance Manager	26 Nov 2022	5.0	Benefit is competitive and working environment is supportive	Work life balance requires improvement
95	No comment in this section	 Analyst	26 Nov 2022	5.0	Not work long enough to see everything	No comment in this section
96	SEA e-commerce academy	 Anonymous Employee	26 Nov 2022	4.0	- Senior leader team, clear strategy and determination - People connection - E-commerce industry	Respect the complexity, stay open minded and humble, learn from local and the past, and think forward
97	Culture is okay, bosses are meh	 Marketing Manager	25 Nov 2022	3.0	- young environment - nice office - salary is so so	- back to office, 4x a week. Hahaha people can work remotely this daysss
98	Ok	 Marketing	25 Nov 2022	5.0	Nice people and marketing budget	Lack of leadership and streamlined processes
99	amazing	 Software Engineeer	25 Nov 2022	5.0	nice people around, fast pace	sometime we work on things nobody used ;(
100	good place to work	 Anonymous Employee	24 Nov 2022	4.0	fast , quick to fail and quick to learn, flexible working hour	pressure , busy , very busy , but fun
101	.	 Summer Internship	23 Nov 2022	5.0	Easy to go to the office	Expensive for transportation to use
102	Finance	 Finance	22 Nov 2022	3.0	Young and vibrant work place	No work life balance in the company
103	Experience at the cost of health	 Performance Marketing Manager	22 Nov 2022	5.0	Good for learning ecommerce, work for a year and you can easily find job in SEA	You suffer under the pressure Gives no value to employees You suffer some more with ever-changing directions before you quit
104	Nice	 Affiliate Manager	21 Nov 2022	4.0	Good company to work , nice environment	Stressful sometimes but still work well
105	Great place to work and learn	 Anonymous Employee	20 Nov 2022	5.0	1.) Empowerment given to staff 2.) Great environment to learn Ecommerce	1.) Very challenging timeline due to back-to-back campaigns
106	Good for those who likes to learn to deep end	 Logistic Manager	18 Nov 2022	4.0	many opportunities to learn, lots of projects	compensation might be lower 15-20% vs competitors
107	Fast paced environment	 Manager	17 Nov 2022	4.0	You will handle many projects and learn a lot.	Things are always rushed. It is not for the faint hearted.
108	Company Benefits	 Data Analyst	17 Nov 2022	4.0	Good salary, bonus, and free vouchers	You don’t know whom Managers to follow especially its not your area manager
109	Chinese culture mixed with Southeast Asian facades	 Product Manager	15 Nov 2022	4.0	Decent employee benefits and flexibility in working	Chinese work culture is existent and may not suit some people.
110	Multiple Moving Parts	 Marketing	14 Nov 2022	3.0	The team is quite big, you'll never miss the chance to learn from a lot of people	There's not much clarity during onboarding
111	Rapid pace company	 Analyst	13 Nov 2022	3.0	Collaborative working and Cross working with different amicable functions	Too many back to back initiative which loses sight of the initial company goal and motto. Too much OT to clear day work
112	Lots of self-learning opportunities	 Business Analyst	12 Nov 2022	4.0	Lots of self learning opportunities	"Not really a ""corporate"" role (but that's to be expected from the flexibility that's given)"
113	Company review	 Project Manager	12 Nov 2022	5.0	People focused with alot of benefits, training and opportunities to learn and have fun	Potentially long hours for some roles
114	Good colleagues	 Sales Associate	9 Nov 2022	3.0	New challenges. Learn a lot of strategies.	long working hour in a day
115	no	 Talent Acquisition Partner	2 Nov 2022	2.0	no no no no no	too much too much too much
116	Nice Exp.	 VAM	31 Oct 2022	4.0	-easy transportation, in the middle of the city	-high layoff rates -high turnover rates
117	Nice Working Environment	 Anonymous Employee	31 Oct 2022	5.0	Friendly working environment that staff were friendly and were willing to teach you	N/A, no improvement was needed.
118	Good	 Anonymous Employee	31 Oct 2022	4.0	Freedom of work Approval of CEO	Changes all the time not uncommon for startup but have to get used to it
119	Fast paced environment	 Strategic Account Lead	30 Oct 2022	4.0	- many opportunities - friendly colleagues - a lot of activities for staff to participate - staff healthcare is great	- e-commerce runs 24/7 - many campaigns
120	Good	 Dispatch	28 Oct 2022	2.0	It was wonderful working there	Very stressful job when working on shifts
121	Advertising	 Marketing	26 Oct 2022	4.0	Good benefit, medical, foods Caring to employee, alot of gift during mega	no work life balance, pace fast. top down regional
122	good	 Anonymous Employee	25 Oct 2022	5.0	good coworkers free snacks and drinks	may need to brush up on multiple languages
123	Balanced Pros & Cons	 Category Manager	22 Oct 2022	4.0	1. Balanced amount of challenges & happiness at work 2. Great company culture 3. One of the most sustainable e-commerce companies in Indonesia	1. Very fast pace 2. Small number of employees, causing 1 employee handle too much tasks/jobs (can cause overwhelming situation sometimes) 3. Top-down strategies. Local teams need to follow almost every decisions made by regional team
124	Horrible HR fake promises that have no credibility	 Anonymous Employee	22 Oct 2022	1.0	I couldn't find any pros	HR promised something they could not realize and stopped responding to emails when employees wrote to them begging for a response. They probably disappeared as they are fired too by their Chinese bosses.
125	Healthy workplace	 Sales Lead	20 Oct 2022	5.0	Vibrant, energetic, and less drama	Office is in the mid of traffic jungle
126	Political	 Manager	20 Oct 2022	2.0	young vibrant environment many experts from alibaba	favoritism must able to blend in with the bosses to get recognition
127	Work life balance	 Associate	19 Oct 2022	5.0	Great companion Good compensation Job growth	Work life balance during D Day
128	Procurement	 Senior Associate	18 Oct 2022	5.0	great culture & great self assessment system	high load & fast moving project
129	Good company overall	 Analyst	17 Oct 2022	4.0	Good company, great people, a lot of career advancement opportunities.	Long working hours, difficult workload, overnight stay at office during campaigns
130	Progressive and inclusive company	 Human Resources	15 Oct 2022	5.0	Since Alibaba's acquisition, the company has since started localizing more and more in the SEA countries	Too fast pace, processes cannot stablize before another change happens
131	Just so so	 Software Engineer	14 Oct 2022	2.0	Good tech in this company	No work life balance at all
132	Fast-paced with a lack of structure	 Senior Campaign Analyst	14 Oct 2022	3.0	Good employment benefits and learning curve	Lack of clear management structure No transparency
133	Chinese culture ( bad)	 Sales Ops Manager	13 Oct 2022	2.0	Very nice colleague , nice office , good food	too many chinese boss , can't understand english at all.
134	Operations	 Anonymous Employee	13 Oct 2022	3.0	Good place to work and enjoy.	Not a place for growth
135	-	 Product Manager	13 Oct 2022	2.0	fun, nice colleagues, nice environment	stress, unfit, blur, unorganized, OKR
136	Good for The Young	 Associate, Category Management	13 Oct 2022	4.0	Excellent Top Line Manager High Paid vs average Industry	Poor Middle Line Manager High workload Change Rapidly
137	Learn a lot but very stressful	 Account Manager	12 Oct 2022	3.0	exposure learnings challenging environment new tools hotel accommodations during peak work weeks	stressful lack of work life balance can be toxic
138	Okay if you wanna learn but not work life balance	 Anonymous Employee	10 Oct 2022	2.0	Steep learning curve for those who'd like to learn about ecommerce	No work life balance expected, very China working culture
139	Micromanagement, Too much reporting	 Senior Product Manager	10 Oct 2022	2.0	No pros no pros no pros	"Too many. 

1. Management direction changes too quickly. 
2. Leaders lack calibre, only know how to micromanage (to the level of when you get into and out of office, must be right on clock). 
3. Fast pace, no interest in employees' personal growth. You are just the working machine to deliver x times of value more than the amount you are paid for.
4. Most of the managers are from mainland China who have zero social/work clue working in SEA and SG HQ, too much comm cost. They don't know how to lead or manage. They are promoted to manager level because they excel as individual contributors."
140	No Idea on direction	 Anonymous Employee	9 Oct 2022	3.0	nice office and good work life balance	Poor culture and midde management
141	Join if you like constant challenges	 Sales Associate	9 Oct 2022	3.0	Learnt to be adaptable, juggling many tasks constantly	Too many changes constantly, can’t focus
142	Work culture	 Senior Analyst	7 Oct 2022	4.0	Fun to work, good culture	No commission for every department
143	Working Life in Marketing Solutions MY	 Marketing Solutions	6 Oct 2022	5.0	My current company has the best working environment. Especially the department that I currently work at, Marketing Solutions. My superior, VP of Marketing Solutions, gave me and continuous giving me great support and being very attentive and engaging to me. Not only at work, but even personal life. Ensure that I am mentally healthy and happy with my what I am doing. She did so much for me, our team, that I am so happy to work here regardless of the workload. Believe every working environment has they own stress points, but here, with my superior, my teammates, I am glad and lucky enough to join Lazada Malaysia Marketing Solutions!	More breakfast options at pantry please
144	Voice	 Customer Service Representative	3 Oct 2022	5.0	Manage to build patience and knowledge	Alot of calls to answer
145	The handful few are always right	 Anonymous Employee	3 Oct 2022	1.0	You will likely gain ability to survive a confused management with ever changing organisation structure, lack of direction and maybe improve your chinese speaking skills. There might be a few old timers whom you might show you the art of brownnosing and beauty of Taiji.	"How can there be anything wrong?
Chinese are the best. 
Secondees are always right."
146	Underpaid	 Anonymous Employee	1 Oct 2022	1.0	Great for Experience for new content creators.	Underpaid and no customer service for talents.
147	Great workplace	 Growth Marketing Manager	30 Sep 2022	5.0	Best working envinroment in Vietnam	Nothing to complain. Very happy
148	HR from China	 Senior Vice President	30 Sep 2022	1.0	Good location, a lot of employee perks	"HR from China lie about their numbers and do a lot of funny things, from wrong declaration of taxes to karaoke at restaurants' backrooms owed by their friends during covid lockdowns, flaunting and pressurising others to join in to show one team spirit. 

Total joke."
149	Stressed	 Helper	30 Sep 2022	1.0	Free meal during sales such as 7.7, 8.8, etc.	Bad management, incompetent co workers and does not care about the workers.
150	nice	 Anonymous Employee	30 Sep 2022	3.0	good work place to work	very difficult to get promotion
151	Good place but depends on you	 Marketing Analyst	29 Sep 2022	4.0	"Driven teams 
Fast paced and good for those really want to excel
Able to learn a lot under good leadership"	"No work life balance
Expected to always be available due to nature of messaging app
Teams tend to overtime so you may also have to
Chinese centric communication"
152	Analyst, KAM at Lazada	 Key Account Manager (KAM)	27 Sep 2022	4.0	"Good people management
Lots of vouchers / package during campaigns
Workshop for employees"	"Meetings / Work outside working hour, no extra pay
Work on weekends if big campaign falls on weekends"
153	Good but tiring	 Operations Manager	27 Sep 2022	4.0	Lots of people and resources	Too much unstructured within each department
154	Ok company	 IT Manager	27 Sep 2022	4.0	Fast paced, dynamic company to work for, good if you want exposure to startups	Culture shift from good to bad
155	My Chinese boss fakes numbers	 Anonymous Employee	24 Sep 2022	1.0	I was not able to find any Pros.	It is a horrible company. My boss fakes numbers to please his boss....
156	Good but for everyone. Beware!	 Senior Associate	23 Sep 2022	2.0	"Has good potential.
Fun and energetic culture by HR such as weekly games, activities.
You get to learn a lot.
Good pay."	"Toxic staff that are very negative, quick to blame others, and unprofessional.
Depending on teams, some are fine but some are not so and some are really bad such as unsupportive team members, constant criticising people culture.
High turnover rate.
Personally, have to start therapy to keep sane & currently just want to get out of here."
157	Good benefits	 Anonymous Employee	21 Sep 2022	5.0	Fun office and fun stuff	Long working hours for campaign time
158	Stay Away	 Regional Manager	21 Sep 2022	1.0	"Used to splurge on employees
Fancy and fun work space"	"Long hours
Politics
No leadership 
No direction"
159	-	 Business Development Manager	20 Sep 2022	5.0	- great career development opportunities	"- long hours
Constant changes"
160	Work Hard	 Senior Associate	20 Sep 2022	4.0	Learn More in Work place	I dont see any there
161	Power abuse by Marketing Solution VP	 	20 Sep 2022	2.0	Good salary and platform to learn	Power Abuse by VP and politics
162	Great working culture and networking	 Anonymous Employee	20 Sep 2022	5.0	The people are very bonding and willing to support each other. I see everyone is ambitious and inspiring to work with. The working environment is very active and allows constant improvement.	OT and have to run many projects during peak.
